Char,Genre,Title,line_count
KRISTI,Adventure,127hours,54
MEGAN,Adventure,127hours,61
ERIK,Adventure,127hours,31
ARON,Adventure,127hours,636
RANA,Adventure,127hours,39
ADMINISTRATOR,Adventure,1492conquestofparadise,21
AL,Adventure,1492conquestofparadise,44
PINZON,Adventure,1492conquestofparadise,100
BARTOLOME,Adventure,1492conquestofparadise,29
GIACOMO,Adventure,1492conquestofparadise,24
MOXICA,Adventure,1492conquestofparadise,51
UTAPAN,Adventure,1492conquestofparadise,40
BROTHER BUYL,Adventure,1492conquestofparadise,28
BOBADILLA,Adventure,1492conquestofparadise,30
ISABEL,Adventure,1492conquestofparadise,92
SANTANGEL,Adventure,1492conquestofparadise,55
SAILOR,Adventure,1492conquestofparadise,22
MENDEZ,Adventure,1492conquestofparadise,32
AROJAZ,Adventure,1492conquestofparadise,100
SANCHEZ,Adventure,1492conquestofparadise,212
MARCHENA,Adventure,1492conquestofparadise,122
BEATRIX,Adventure,1492conquestofparadise,38
FERNANDO,Adventure,1492conquestofparadise,92
COLUMBUS,Adventure,1492conquestofparadise,825
RADIO HOST,Adventure,2012,24
ON THE RADIO,Adventure,2012,23
CHARLIE'S VOICE,Adventure,2012,38
CHARLIE FROST,Adventure,2012,91
NEWSCASTER,Adventure,2012,21
TONY,Adventure,2012,24
HARRY,Adventure,2012,61
PRESIDENT WILSON,Adventure,2012,83
SASHA,Adventure,2012,77
GORDON,Adventure,2012,107
SATNAM,Adventure,2012,26
LIN,Adventure,2012,29
YURI,Adventure,2012,94
NENG,Adventure,2012,35
TAMARA,Adventure,2012,45
(PAUSE),Adventure,2012,43
OLEG,Adventure,2012,21
LILLY,Adventure,2012,65
LAURA,Adventure,2012,82
PROF. WEST,Adventure,2012,42
VOICE,Adventure,2012,22
ANHEUSER,Adventure,2012,166
CAPTAIN MICHAELS,Adventure,2012,58
NOAH,Adventure,2012,78
KATE,Adventure,2012,149
JACKSON,Adventure,2012,334
ADRIAN,Adventure,2012,344
(CONTINUED),Adventure,2012,211
CHRISTOPHER,Adventure,30minutesorless,32
(BEAT),Adventure,30minutesorless,57
JUICY,Adventure,30minutesorless,55
(MORE),Adventure,30minutesorless,22
VAUGHN,Adventure,30minutesorless,105
MAJOR,Adventure,30minutesorless,54
CHET,Adventure,30minutesorless,635
KATE,Adventure,30minutesorless,118
WILL,Adventure,30minutesorless,1063
JAY,Adventure,30minutesorless,184
DWAYNE,Adventure,30minutesorless,748
EXEC,Adventure,abyssthe,21
COFFEY,Adventure,abyssthe,141
JAMMER,Adventure,abyssthe,37
SONNY,Adventure,abyssthe,25
MONK,Adventure,abyssthe,88
MCBRIDE,Adventure,abyssthe,29
ONE NIGHT,Adventure,abyssthe,77
DEMARCO,Adventure,abyssthe,38
CATFISH,Adventure,abyssthe,108
HIPPY,Adventure,abyssthe,171
LINDSEY,Adventure,abyssthe,514
BUD,Adventure,abyssthe,486
SECRET SERVICE AGENT,Adventure,airforceone,25
COL. AXELROD,Adventure,airforceone,26
DOHERTY,Adventure,airforceone,29
BAZYLEV,Adventure,airforceone,38
MITCHELL,Adventure,airforceone,57
ZEDECK,Adventure,airforceone,39
GIBBS,Adventure,airforceone,106
SERGE,Adventure,airforceone,31
PETROV,Adventure,airforceone,26
MAJOR CALDWELL,Adventure,airforceone,89
KUNOV,Adventure,airforceone,324
AIDE,Adventure,airforceone,36
COL. CARLTON,Adventure,airforceone,86
DEAN,Adventure,airforceone,54
V.P. CHANDLER,Adventure,airforceone,121
GENERAL NORTHWOOD,Adventure,airforceone,58
ALICE,Adventure,airforceone,123
ROSE,Adventure,airforceone,167
SHEPHERD,Adventure,airforceone,95
MARSHALL,Adventure,airforceone,518
KC-LO PILOT,Adventure,airforceone,26
GIDDYPU!,Adventure,armyofdarkness,27
FADE OUT.,Adventure,armyofdarkness,24
SHEILA,Adventure,armyofdarkness,34
HENRY,Adventure,armyofdarkness,51
ARTHUR,Adventure,armyofdarkness,117
EVIL ASH,Adventure,armyofdarkness,64
WISEMAN JOHN,Adventure,armyofdarkness,107
DISSOLVE TO:,Adventure,armyofdarkness,43
ASH,Adventure,armyofdarkness,649
(SUBTITLED),Adventure,avatar,119
GRACE,Adventure,avatar,434
MO'AT,Adventure,avatar,63
NEYTIRI,Adventure,avatar,186
WAINFLEET,Adventure,avatar,33
MAX,Adventure,avatar,69
NORM,Adventure,avatar,123
TRUDY,Adventure,avatar,93
SELFRIDGE,Adventure,avatar,137
QUARITCH,Adventure,avatar,253
TSU'TEY,Adventure,avatar,55
JAKE,Adventure,avatar,757
PEPPER,Adventure,avengersthe2012,67
THE OTHER,Adventure,avengersthe2012,36
AGENT PHIL COULSON,Adventure,avengersthe2012,141
SECURITY GUARD,Adventure,avengersthe2012,23
NATASHA,Adventure,avengersthe2012,176
CLINT BARTON,Adventure,avengersthe2012,58
STEVE,Adventure,avengersthe2012,174
BANNER,Adventure,avengersthe2012,208
HAWKEYE,Adventure,avengersthe2012,29
SELVIG,Adventure,avengersthe2012,52
JARVIS,Adventure,avengersthe2012,31
IRON MAN,Adventure,avengersthe2012,61
BLACK WIDOW,Adventure,avengersthe2012,45
CAPTAIN AMERICA,Adventure,avengersthe2012,116
(A BEAT),Adventure,avengersthe2012,26
THOR,Adventure,avengersthe2012,122
TONY,Adventure,avengersthe2012,379
LOKI,Adventure,avengersthe2012,196
WORLD SECURITY COUNCIL #1,Adventure,avengersthe2012,37
AGENT MARIA HILL,Adventure,avengersthe2012,67
NICK FURY,Adventure,avengersthe2012,320
SIR AUGUST,Adventure,avengersthe,40
BAILEY,Adventure,avengersthe,28
OLD LADY,Adventure,avengersthe,30
VOICE,Adventure,avengersthe,124
DR. DARLING,Adventure,avengersthe,74
PETER,Adventure,avengersthe,50
INVISIBLE JONES,Adventure,avengersthe,66
FATHER,Adventure,avengersthe,97
VALENTINE,Adventure,avengersthe,257
MOTHER,Adventure,avengersthe,251
EMMA,Adventure,avengersthe,710
STEED,Adventure,avengersthe,774
BEAMEN,Adventure,bigfish,39
KARL,Adventure,bigfish,30
AMOS,Adventure,bigfish,100
DON PRICE,Adventure,bigfish,34
NORTHER WINSLOW,Adventure,bigfish,59
JENNY,Adventure,bigfish,239
SANDRA,Adventure,bigfish,191
JOSEPHINE,Adventure,bigfish,118
DR. BENNETT,Adventure,bigfish,57
PING,Adventure,bigfish,51
EDWARD,Adventure,bigfish,1114
WILL,Adventure,bigfish,445
GIANCARLO,Adventure,bourneidentitythe,64
THE MAN,Adventure,bourneidentitythe,51
SECURITY CHIEF,Adventure,bourneidentitythe,23
OPERATOR/PHONE,Adventure,bourneidentitythe,21
MANAGER/PHONE,Adventure,bourneidentitythe,35
MRS. DOYLE,Adventure,bourneidentitythe,25
RAWLINS,Adventure,bourneidentitythe,50
MORGUE BOSS,Adventure,bourneidentitythe,37
ZORN,Adventure,bourneidentitythe,46
WOMBOSI,Adventure,bourneidentitythe,168
CLERK,Adventure,bourneidentitythe,32
PROFESSOR,Adventure,bourneidentitythe,34
CONKLIN,Adventure,bourneidentitythe,224
MARSHALL,Adventure,bourneidentitythe,42
ABBOTT,Adventure,bourneidentitythe,91
BOURNE,Adventure,bourneidentitythe,564
MARIE,Adventure,bourneidentitythe,410
CRABBY,Adventure,cars2,25
MEL DORADO (ON TV),Adventure,cars2,44
MATER'S VOICE (ON TV),Adventure,cars2,22
FRANCESCO (ON TV),Adventure,cars2,40
ROD REDLINE,Adventure,cars2,30
TOMBER,Adventure,cars2,38
UNCLE TOPOLINO,Adventure,cars2,49
ENGINE VOICE,Adventure,cars2,60
MILES AXLEROD (ON TV),Adventure,cars2,33
ACER,Adventure,cars2,56
GREM,Adventure,cars2,66
FINN (OVER RADIO),Adventure,cars2,35
DAVID HOBBSCAP,Adventure,cars2,47
DARRELL CARTRIP,Adventure,cars2,54
BRENT MUSTANGBURGER,Adventure,cars2,120
PROFESSOR ZUNDAPP,Adventure,cars2,96
MATER'S COMPUTER,Adventure,cars2,32
