Char,Genre,Title,line_count
MR LIPA,Biography,pianistthe,26
THE FEATHER WOMAN,Biography,pianistthe,26
JEHUDA,Biography,pianistthe,98
DR. EHRLICH,Biography,pianistthe,22
REGINA,Biography,pianistthe,57
MOTHER,Biography,pianistthe,70
GRUN,Biography,pianistthe,22
HENRYK,Biography,pianistthe,178
FATHER,Biography,pianistthe,116
HALINA,Biography,pianistthe,65
HELLER,Biography,pianistthe,50
BENEK,Biography,pianistthe,29
SS CAPTAIN,Biography,pianistthe,29
MAJOREK,Biography,pianistthe,54
ZICK-ZACK,Biography,pianistthe,32
ALL WORKERS,Biography,pianistthe,23
BOGUCKI,Biography,pianistthe,21
JANINA,Biography,pianistthe,24
GEBCZYNSKI,Biography,pianistthe,48
SZALAS,Biography,pianistthe,32
MICHAL,Biography,pianistthe,47
DOROTA,Biography,pianistthe,98
THE GERMAN CAPTAIN,Biography,pianistthe,70
SZPILMAN,Biography,pianistthe,446
LEDNICKI,Biography,pianistthe,28
JIM VOICE,Biography,doorsthe,44
MANAGER,Biography,doorsthe,37
JERRY,Biography,doorsthe,26
HAIRDRESSER,Biography,doorsthe,23
PRODUCER,Biography,doorsthe,34
JOURNALIST 1,Biography,doorsthe,21
JOURNALIST 3,Biography,doorsthe,28
GLORIA,Biography,doorsthe,42
PR MAN,Biography,doorsthe,29
PAMELA,Biography,doorsthe,42
PAUL,Biography,doorsthe,62
STEWARDESS,Biography,doorsthe,21
DOG,Biography,doorsthe,32
PATRICIA,Biography,doorsthe,152
LAWYER,Biography,doorsthe,30
SIDDONS,Biography,doorsthe,74
VOICES,Biography,doorsthe,39
MIKE,Biography,doorsthe,48
TOM,Biography,doorsthe,100
JOHN,Biography,doorsthe,163
ROBBIE,Biography,doorsthe,119
RAY,Biography,doorsthe,330
PAM,Biography,doorsthe,335
JIM,Biography,doorsthe,1689
JIM & DOORS,Biography,doorsthe,150
