Char,Genre,Title,line_count
FATHER MCNULTY,Comedy,detroitrockcity,92
KENNY,Comedy,detroitrockcity,83
SIMPLE SIMON'S VOICE,Comedy,detroitrockcity,28
SCALPER,Comedy,detroitrockcity,34
BARTENDER,Comedy,detroitrockcity,44
PRIEST,Comedy,detroitrockcity,62
MAN WITH COAT,Comedy,detroitrockcity,37
BEEFY JERK #1,Comedy,detroitrockcity,35
BETH,Comedy,detroitrockcity,90
AMANDA,Comedy,detroitrockcity,53
LITTLE KID,Comedy,detroitrockcity,64
CHRISTINE,Comedy,detroitrockcity,112
MRS. BRUCE,Comedy,detroitrockcity,118
LEX,Comedy,detroitrockcity,306
ELVIS,Comedy,detroitrockcity,24
HAWK,Comedy,detroitrockcity,580
TRIP,Comedy,detroitrockcity,280
JAM,Comedy,detroitrockcity,316
DEFENDING LAWYER,Comedy,erinbrockovich,21
PAULSEN,Comedy,erinbrockovich,40
BAUM,Comedy,erinbrockovich,28
MANDY,Comedy,erinbrockovich,27
FRANKEL,Comedy,erinbrockovich,50
ROSS,Comedy,erinbrockovich,27
LAURA,Comedy,erinbrockovich,22
ANNA,Comedy,erinbrockovich,24
JANE,Comedy,erinbrockovich,35
THERESA,Comedy,erinbrockovich,31
BRENDA,Comedy,erinbrockovich,55
MATTHEW,Comedy,erinbrockovich,40
GEORGE,Comedy,erinbrockovich,304
EMBRY,Comedy,erinbrockovich,40
POTTER,Comedy,erinbrockovich,52
DONNA,Comedy,erinbrockovich,145
ROSALIND,Comedy,erinbrockovich,27
ERIN,Comedy,erinbrockovich,1575
ED,Comedy,erinbrockovich,634
MR. FELDMAN,Comedy,edwood,41
GEORGIE,Comedy,edwood,165
HOST,Comedy,edwood,26
OLD MAN McCOY,Comedy,edwood,26
CAMERAMAN BILL,Comedy,edwood,33
LORETTA,Comedy,edwood,50
DOLORES,Comedy,edwood,190
ED'S VOICE,Comedy,edwood,27
NORMA,Comedy,edwood,32
ED (on phone),Comedy,edwood,29
BELA,Comedy,edwood,522
PAUL MARCO,Comedy,edwood,74
CONRAD,Comedy,edwood,37
VAMPIRA,Comedy,edwood,96
TOR,Comedy,edwood,136
N WELLES,Comedy,edwood,39
REYNOLDS,Comedy,edwood,78
REVEREND LEMON,Comedy,edwood,53
BUNNY,Comedy,edwood,51
KATHY,Comedy,edwood,124
ED,Comedy,edwood,1892
CRISWELL,Comedy,edwood,149
MISS PETERS,Comedy,pleasantville,24
MARGE,Comedy,pleasantville,21
JENNIFER (CONT),Comedy,pleasantville,35
GEORGE (CONT),Comedy,pleasantville,29
BIFF,Comedy,pleasantville,104
MR. JOHNSON (CONT),Comedy,pleasantville,33
DICK VAN DYKE (CONT),Comedy,pleasantville,60
DICK VAN DYKE,Comedy,pleasantville,224
BOB (CONT),Comedy,pleasantville,68
GEORGE,Comedy,pleasantville,134
BOB,Comedy,pleasantville,174
JENNIFER,Comedy,pleasantville,452
MARGARET,Comedy,pleasantville,87
DAVID (CONT),Comedy,pleasantville,142
MR. JOHNSON,Comedy,pleasantville,175
BETTY,Comedy,pleasantville,166
BETTY (CONT),Comedy,pleasantville,48
DAVID,Comedy,pleasantville,836
DAVID,Comedy,bamboozled,21
JUKKA,Comedy,bamboozled,35
JUNEBUG,Comedy,bamboozled,90
DOT,Comedy,bamboozled,29
MYRNA,Comedy,bamboozled,51
SLEEP 'N EAT,Comedy,bamboozled,114
TAVIS SMILEY,Comedy,bamboozled,45
ORCHID,Comedy,bamboozled,77
MANTAN,Comedy,bamboozled,382
HONEYCUTT,Comedy,bamboozled,113
CHEEBA,Comedy,bamboozled,176
DUNWITTY,Comedy,bamboozled,402
BARNETT,Comedy,bamboozled,22
SMOOTH BLACK,Comedy,bamboozled,24
MANRAY,Comedy,bamboozled,130
BIG BLACK,Comedy,bamboozled,181
SLOAN,Comedy,bamboozled,407
DELACROIX,Comedy,bamboozled,1104
BEAUMONT,Comedy,jackiebrown,71
JUDGE,Comedy,jackiebrown,22
MELANIE,Comedy,jackiebrown,312
AMY,Comedy,jackiebrown,22
LOUIS,Comedy,jackiebrown,336
NICOLET,Comedy,jackiebrown,296
WINSTON,Comedy,jackiebrown,23
ORDELL,Comedy,jackiebrown,1289
DARGUS,Comedy,jackiebrown,182
MAX,Comedy,jackiebrown,848
JACKIE,Comedy,jackiebrown,1194
"REVISED - May 31, 1989",Comedy,gremlins2,45
BILLY (CONT.),Comedy,gremlins2,30
"REVISED May 16, 1989",Comedy,gremlins2,23
"REVISED April 20, 1989",Comedy,gremlins2,34
BILLY,Comedy,gremlins2,34
"REVISED - July 7, 1989",Comedy,gremlins2,23
LESECRETARY,Comedy,americanpresidentthe,21
LEO,Comedy,americanpresidentthe,88
BETH,Comedy,americanpresidentthe,61
RUMSON,Comedy,americanpresidentthe,122
KODAK,Comedy,americanpresidentthe,114
SUSAN,Comedy,americanpresidentthe,58
DAVID,Comedy,americanpresidentthe,47
MRS. CHAPIL,Comedy,americanpresidentthe,26
LEWIS,Comedy,americanpresidentthe,347
ROBIN,Comedy,americanpresidentthe,158
LUCY,Comedy,americanpresidentthe,186
A.J.,Comedy,americanpresidentthe,392
JANIE,Comedy,americanpresidentthe,116
SYDNEY,Comedy,americanpresidentthe,957
SHEPHERD,Comedy,americanpresidentthe,1821
JACK,Comedy,wildhogs,68
CHARLEY,Comedy,wildhogs,49
BOB,Comedy,wildhogs,104
KELLY,Comedy,wildhogs,40
WOODY,Comedy,wildhogs,153
DUDLEY,Comedy,wildhogs,109
DOUG,Comedy,wildhogs,299
ROMAN,Comedy,jennifersbody,27
JONAS,Comedy,jennifersbody,31
COLIN,Comedy,jennifersbody,41
MRS. GRAY,Comedy,jennifersbody,27
TONI,Comedy,jennifersbody,62
GOTH GIRL,Comedy,jennifersbody,49
MR. WROBLEWSKI,Comedy,jennifersbody,82
CHIP'S MOM,Comedy,jennifersbody,44
JENNIFER,Comedy,jennifersbody,601
CHIP,Comedy,jennifersbody,358
DIRK,Comedy,jennifersbody,27
NIKOLAI,Comedy,jennifersbody,124
NEEDY,Comedy,jennifersbody,941
(CONTINUED),Comedy,jennifersbody,208
RADIO DJ,Comedy,jennifersbody,26
LEAGUER PUNK 1,Comedy,sandlotkidsthe,37
DENUNEZ,Comedy,sandlotkidsthe,52
TIMMY,Comedy,sandlotkidsthe,47
REPEAT,Comedy,sandlotkidsthe,36
YEAH-YEAH,Comedy,sandlotkidsthe,111
HAM,Comedy,sandlotkidsthe,160
BERTRAM,Comedy,sandlotkidsthe,55
GANG,Comedy,sandlotkidsthe,46
THE BABE,Comedy,sandlotkidsthe,55
SQUINTS,Comedy,sandlotkidsthe,269
THE BEAST,Comedy,sandlotkidsthe,22
THE GANG,Comedy,sandlotkidsthe,43
BENNY,Comedy,sandlotkidsthe,324
MR. MERTLE,Comedy,sandlotkidsthe,30
SCOTTY,Comedy,sandlotkidsthe,319
BILL,Comedy,sandlotkidsthe,56
(BEAT),Comedy,sandlotkidsthe,196
MOM,Comedy,sandlotkidsthe,67
NARRATOR,Comedy,sandlotkidsthe,251
DELIVERY GUY,Comedy,nextfriday,26
EZAL (cont'd),Comedy,nextfriday,21
DAY-DAY (cont'd),Comedy,nextfriday,34
BABY'D,Comedy,nextfriday,24
D'WANA,Comedy,nextfriday,41
PINKY,Comedy,nextfriday,31
MR. JONES (cont'd),Comedy,nextfriday,22
ROACH (cont'd),Comedy,nextfriday,27
KARLA,Comedy,nextfriday,71
CRAIG (cont'd),Comedy,nextfriday,46
LI'L JOKER,Comedy,nextfriday,29
UNCLE ELROY (cont'd),Comedy,nextfriday,33
JOKER,Comedy,nextfriday,93
DEBO,Comedy,nextfriday,49
EZAL,Comedy,nextfriday,49
ROACH,Comedy,nextfriday,188
MISS HO KYM,Comedy,nextfriday,46
MR. JONES,Comedy,nextfriday,120
UNCLE ELROY,Comedy,nextfriday,217
SUGA,Comedy,nextfriday,54
DAY-DAY,Comedy,nextfriday,417
CRAIG,Comedy,nextfriday,450
ACTIVIST,Comedy,clerks,149
V.A. CUSTOMER,Comedy,clerks,22
BLUE-COLLAR MAN,Comedy,clerks,51
INDECISIVE CUSTOMER,Comedy,clerks,47
SMOKER,Comedy,clerks,41
"I...Excuse me...Vermont?!...No,",Comedy,clerks,21
DANTE (O.C.),Comedy,clerks,29
SANFORD,Comedy,clerks,37
OLD MAN,Comedy,clerks,63
IMPATIENT CUSTOMER,Comedy,clerks,46
SUITED MAN,Comedy,clerks,54
HEATHER,Comedy,clerks,68
TRAINER,Comedy,clerks,110
CAITLIN,Comedy,clerks,298
CORONER,Comedy,clerks,45
RANDAL (O.C.),Comedy,clerks,21
