Char,Genre,Title,line_count
IMMIGRATION OFFICER,Crime,15minutes,56
MILOS,Crime,15minutes,32
MUGGER,Crime,15minutes,22
ROBERT HAWKINS,Crime,15minutes,36
STEPHEN GELLER,Crime,15minutes,30
HONEY,Crime,15minutes,32
ROSE,Crime,15minutes,45
EDDIE,Crime,15minutes,532
MAX,Crime,15minutes,27
KORFIN,Crime,15minutes,103
TOMMY,Crime,15minutes,44
LEON,Crime,15minutes,111
DUFFY,Crime,15minutes,93
STERN,Crime,15minutes,22
DAPHNE,Crime,15minutes,121
HAWKINS (ON T.V.),Crime,15minutes,24
CUTLER,Crime,15minutes,140
EMIL,Crime,15minutes,426
HAWKINS,Crime,15minutes,118
OLEG,Crime,15minutes,165
JORDY,Crime,15minutes,504
NICOLETTE,Crime,15minutes,213
PROLOGUE,Crime,44inchchest,38
CONTINUED: (2),Crime,44inchchest,38
BIGGY,Crime,44inchchest,32
ARCHIE'S VOICE,Crime,44inchchest,39
TIPPI,Crime,44inchchest,21
COLIN (CONT),Crime,44inchchest,69
OMP VOICE,Crime,44inchchest,22
(MORE),Crime,44inchchest,30
CUT BACK TO,Crime,44inchchest,25
MEREDITH VO,Crime,44inchchest,28
LIZ,Crime,44inchchest,121
MAL,Crime,44inchchest,425
OMP,Crime,44inchchest,482
MEREDITH,Crime,44inchchest,400
ARCHIE,Crime,44inchchest,504
COLIN,Crime,44inchchest,667
WEST,Crime,afewgoodmen,46
SPRADLING,Crime,afewgoodmen,32
WHITAKER,Crime,afewgoodmen,50
SANTIAGO,Crime,afewgoodmen,26
MCGUIRE,Crime,afewgoodmen,34
HAMMAKER,Crime,afewgoodmen,26
STONE,Crime,afewgoodmen,64
HOWARD,Crime,afewgoodmen,95
KENDRICK,Crime,afewgoodmen,107
MARKINSON,Crime,afewgoodmen,113
JESSEP,Crime,afewgoodmen,497
RANDOLPH,Crime,afewgoodmen,156
DOWNEY,Crime,afewgoodmen,100
SERGEANT AT ARMS,Crime,afewgoodmen,32
DAWSON,Crime,afewgoodmen,151
ROSS,Crime,afewgoodmen,511
SAM,Crime,afewgoodmen,293
KAFFEE,Crime,afewgoodmen,2049
JO,Crime,afewgoodmen,739
TUGGLE,Crime,aliennation,43
KRISTIN'S VOICE,Crime,aliennation,26
WARNER,Crime,aliennation,41
MAYOR,Crime,aliennation,35
PORTER,Crime,aliennation,27
WATSON,Crime,aliennation,21
FEDORCHUK,Crime,aliennation,49
WINTER,Crime,aliennation,67
OPERATOR,Crime,aliennation,38
O'NEAL,Crime,aliennation,51
QUINT,Crime,aliennation,36
KIPLING,Crime,aliennation,23
CASSANDRA,Crime,aliennation,78
HARCOURT,Crime,aliennation,159
JETSON,Crime,aliennation,534
SYKES,Crime,aliennation,859
MURRAY,Crime,americanhistoryx,25
STACEY,Crime,americanhistoryx,26
DENNIS,Crime,americanhistoryx,32
CAMMERON,Crime,americanhistoryx,59
SETH,Crime,americanhistoryx,103
DAVINA,Crime,americanhistoryx,61
DORIS,Crime,americanhistoryx,65
DANNY,Crime,americanhistoryx,151
SWEENEY,Crime,americanhistoryx,61
DEREK,Crime,americanhistoryx,228
DANNY (,Crime,americanhistoryx,32
MORT PAPIERMAN/RICHIE DIMASO,Crime,americanhustle,61
CARL ELWAY,Crime,americanhustle,61
RICHIE'S MOTHER,Crime,americanhustle,25
PACO HERNANDEZ,Crime,americanhustle,22
VICTOR TELLEGIO,Crime,americanhustle,79
(MORE),Crime,americanhustle,22
DANNY,Crime,americanhustle,24
SMASH TO:,Crime,americanhustle,40
ALF SIMONE,Crime,americanhustle,69
DOLLY POLITO,Crime,americanhustle,48
CARMINE POLITO,Crime,americanhustle,467
ANTHONY AMADO,Crime,americanhustle,70
SYDNEY PRR,Crime,americanhustle,350
EDITH GREENSLY,Crime,americanhustle,271
RICHIE DIMASO,Crime,americanhustle,1040
STODDARD THN,Crime,americanhustle,186
PETE MUSANE,Crime,americanhustle,88
ROSALYN ROSENFELD,Crime,americanhustle,447
IRVING ROSENFELD,Crime,americanhustle,1218
INGRID,Crime,americanthe,29
JACK unwraps the PACKAGE.,Crime,americanthe,26
FATHER BENEDETTO is sitting in his API three-wheeler.,Crime,americanthe,23
FABIO,Crime,americanthe,22
ANNA,Crime,americanthe,21
WAITER,Crime,americanthe,22
MATHILDE,Crime,americanthe,255
CLARA.,Crime,americanthe,27
CLARA,Crime,americanthe,399
LARRY,Crime,americanthe,233
JACK,Crime,americanthe,871
FATHER BENEDETTO,Crime,americanthe,312
DUCKS,Crime,analyzethat,25
DR. CUTLER,Crime,analyzethat,21
CAESAR,Crime,analyzethat,23
MASIELLO,Crime,analyzethat,77
RIGAZZI,Crime,analyzethat,48
LAURA,Crime,analyzethat,209
MICHAEL,Crime,analyzethat,46
