Char,Genre,Title,line_count
(JAFAR pinches his beak shut.),Family,aladdin,25
ABU are gone.  They are sneaking away in barrels.  They,Family,aladdin,24
JASMINE to pet and hug him.)  You were just playing,Family,aladdin,30
(JAFAR says the word 'princess' with the accent on,Family,aladdin,28
ASMINE walking through the street.),Family,aladdin,22
"ALADDIN leans in to kiss her.  He is interrupted, howeve",Family,aladdin,24
"GENIE looks at ALADDIN.)  Say, you're a lot smaller",Family,aladdin,31
"GENIE appears in his vest, then sticks his arms out and",Family,aladdin,87
"GENIE takes the form of a stewardess, with lots of",Family,aladdin,31
"ONE, boy!",Family,aladdin,22
"ABU into:  a duck, an ostrich, a turtle, and a '57",Family,aladdin,24
GIRLS: (in couterpoint),Family,aladdin,25
JAFAR and IAGO behind the door.),Family,aladdin,21
"GENIE comes out holding the real turban.)  Al, all",Family,aladdin,55
"ALADDIN and JASMINE in free-fall, but catching them.  Th",Family,aladdin,38
CARPET in a knot around a tree.),Family,aladdin,53
"GENIE again is confused, then goes to him and pulls",Family,aladdin,85
CARPET shakes off the snow and rushes over to pick,Family,aladdin,27
JAFAR's back is to ALADDIN.),Family,aladdin,27
(JAFAR looks down questioningly) You wanted to be a geni,Family,aladdin,26
ANASTASIA,Family,anastasia,31
PHLEGMENKOF,Family,anastasia,21
VLADIMIR (CONT.),Family,anastasia,24
ANYA (CONT.),Family,anastasia,40
DMITRI (CONT.),Family,anastasia,41
SOPHIE,Family,anastasia,56
VLADIMIR,Family,anastasia,187
TATIANA,Family,anastasia,150
BARTOK,Family,anastasia,144
RASPUTIN,Family,anastasia,151
RASPUTIN (CONT.),Family,anastasia,61
DMITRI,Family,anastasia,293
ANYA,Family,anastasia,354
MRS. BEAVER,Family,chroniclesofnarniathelionthewitchandthewardrobe,24
MR. BEAVER,Family,chroniclesofnarniathelionthewitchandthewardrobe,47
WHITE WITCH,Family,chroniclesofnarniathelionthewitchandthewardrobe,62
ASLAN,Family,chroniclesofnarniathelionthewitchandthewardrobe,35
TUMNUS,Family,chroniclesofnarniathelionthewitchandthewardrobe,33
EDMUND,Family,chroniclesofnarniathelionthewitchandthewardrobe,106
SUSAN,Family,chroniclesofnarniathelionthewitchandthewardrobe,90
PETER,Family,chroniclesofnarniathelionthewitchandthewardrobe,139
LUCY,Family,chroniclesofnarniathelionthewitchandthewardrobe,114
OTHER MISS SPINK,Family,coraline,21
OTHER MOTHER,Family,coraline,124
TALL OTHER MOTHER,Family,coraline,42
OTHER FATHER,Family,coraline,78
OTHER MR. BOBINSKY,Family,coraline,31
CAT,Family,coraline,56
BELDAM,Family,coraline,30
SWEET GIRL GHOST,Family,coraline,22
WYBIE,Family,coraline,129
MISS FORCIBLE,Family,coraline,46
MISS SPINK,Family,coraline,82
CHARLIE,Family,coraline,69
MEL,Family,coraline,110
MR. BOBINSKY,Family,coraline,48
CORALINE,Family,coraline,760
ENSEMBLE,Family,ducksoup,29
SPEAKER,Family,ducksoup,24
MRS.  TEASDALE,Family,ducksoup,38
VERA,Family,ducksoup,79
BOB,Family,ducksoup,94
TRENTINO,Family,ducksoup,239
ALL,Family,ducksoup,46
MRS. TEASDALE,Family,ducksoup,208
CHICO,Family,ducksoup,369
GROUCHO,Family,ducksoup,1002
DOC GRAHAM,Family,fieldofdreams,28
MANN,Family,fieldofdreams,172
MARK,Family,fieldofdreams,46
SHOELESS JOE,Family,fieldofdreams,49
CONTINUED,Family,fieldofdreams,350
KARIN,Family,fieldofdreams,29
ANNIE,Family,fieldofdreams,170
RAY,Family,fieldofdreams,448
TEACHER,Family,happyfeet,45
FIRST SKUA,Family,happyfeet,60
ELEPHANT SEAL 1,Family,happyfeet,29
THE ADELIES,Family,happyfeet,178
ADELIES,Family,happyfeet,81
AN ADELIE,Family,happyfeet,61
LOVEDAY,Family,happyfeet,73
ALBATROSS,Family,happyfeet,26
ELLA,Family,happyfeet,75
CARUSO,Family,happyfeet,38
CARUSO.,Family,happyfeet,28
PENGUINS,Family,happyfeet,35
WISHFUL,Family,happyfeet,87
MRS ASTRAKHAN,Family,happyfeet,51
MUMBLE (VO),Family,happyfeet,61
