Char,Genre,Title,line_count
(JAFAR pinches his beak shut.),Fantasy,aladdin,25
ABU are gone.  They are sneaking away in barrels.  They,Fantasy,aladdin,24
JASMINE to pet and hug him.)  You were just playing,Fantasy,aladdin,30
(JAFAR says the word 'princess' with the accent on,Fantasy,aladdin,28
ASMINE walking through the street.),Fantasy,aladdin,22
"ALADDIN leans in to kiss her.  He is interrupted, howeve",Fantasy,aladdin,24
"GENIE looks at ALADDIN.)  Say, you're a lot smaller",Fantasy,aladdin,31
"GENIE appears in his vest, then sticks his arms out and",Fantasy,aladdin,87
"GENIE takes the form of a stewardess, with lots of",Fantasy,aladdin,31
"ONE, boy!",Fantasy,aladdin,22
"ABU into:  a duck, an ostrich, a turtle, and a '57",Fantasy,aladdin,24
GIRLS: (in couterpoint),Fantasy,aladdin,25
JAFAR and IAGO behind the door.),Fantasy,aladdin,21
"GENIE comes out holding the real turban.)  Al, all",Fantasy,aladdin,55
"ALADDIN and JASMINE in free-fall, but catching them.  Th",Fantasy,aladdin,38
CARPET in a knot around a tree.),Fantasy,aladdin,53
"GENIE again is confused, then goes to him and pulls",Fantasy,aladdin,85
CARPET shakes off the snow and rushes over to pick,Fantasy,aladdin,27
JAFAR's back is to ALADDIN.),Fantasy,aladdin,27
(JAFAR looks down questioningly) You wanted to be a geni,Fantasy,aladdin,26
GIDDYPU!,Fantasy,armyofdarkness,27
FADE OUT.,Fantasy,armyofdarkness,24
SHEILA,Fantasy,armyofdarkness,34
HENRY,Fantasy,armyofdarkness,51
ARTHUR,Fantasy,armyofdarkness,117
EVIL ASH,Fantasy,armyofdarkness,64
WISEMAN JOHN,Fantasy,armyofdarkness,107
DISSOLVE TO:,Fantasy,armyofdarkness,43
ASH,Fantasy,armyofdarkness,649
"BATWING -- $19.95 and up.""  A PANHANDLER is perched at the",Fantasy,batman2,25
MR. BONIFACE,Fantasy,batman2,23
ANCHORWOMAN,Fantasy,batman2,24
BOAT THUG I,Fantasy,batman2,21
SHAW,Fantasy,batman2,59
KICKS HIM in the face.  HOP; KICK.  HOP; KICK.  The FIGURE has,Fantasy,batman2,27
BARRETT,Fantasy,batman2,26
SCULPTURE of the world turning.  His eyes rove downward along,Fantasy,batman2,30
GUARD,Fantasy,batman2,23
PROVOST,Fantasy,batman2,66
TRAFFIC COP,Fantasy,batman2,24
BULLOCK,Fantasy,batman2,25
COP,Fantasy,batman2,24
TIPTREE,Fantasy,batman2,112
PAGE 101 MISSING FROM HARD COPY,Fantasy,batman2,26
FRICK,Fantasy,batman2,29
PENGUIN (cont.),Fantasy,batman2,40
ALFRED,Fantasy,batman2,180
SELINA,Fantasy,batman2,323
SELINA (cont.),Fantasy,batman2,77
CATWOMAN (cont.),Fantasy,batman2,22
CATWOMAN,Fantasy,batman2,106
DICK,Fantasy,batman2,37
PENGUIN,Fantasy,batman2,245
BATMAN,Fantasy,batman2,25
GORDON,Fantasy,batman2,91
VICKI,Fantasy,batman2,160
BRUCE,Fantasy,batman2,372
EDDIE,Fantasy,batman,28
NICK,Fantasy,batman,44
ECKHARDT,Fantasy,batman,38
GRISSOM,Fantasy,batman,50
JACK,Fantasy,batman,66
BATMAN (cont.),Fantasy,batman,21
GORDON,Fantasy,batman,35
VICKI (cont.),Fantasy,batman,32
ALICIA,Fantasy,batman,21
DENT,Fantasy,batman,61
BRUCE (cont.),Fantasy,batman,30
KNOX (cont.),Fantasy,batman,55
KNOX,Fantasy,batman,316
DICK,Fantasy,batman,36
BATMAN,Fantasy,batman,116
JOKER,Fantasy,batman,230
JOKER (cont.),Fantasy,batman,205
ANCHORWOMAN,Fantasy,batman,24
ALFRED,Fantasy,batman,30
VICKI,Fantasy,batman,409
BRUCE,Fantasy,batman,262
WARNER BROS. INC.                           1992,Fantasy,beinghuman,57
HERMAS,Fantasy,beinghuman,21
