Char,Genre,Title,line_count
GORLOPIS,Film-Noir,doubleindemnity,51
DIETRICHSON,Film-Noir,doubleindemnity,83
NORTON,Film-Noir,doubleindemnity,158
JACKSON,Film-Noir,doubleindemnity,86
LOLA,Film-Noir,doubleindemnity,231
NEFF'S VOICE,Film-Noir,doubleindemnity,341
PHYLLIS,Film-Noir,doubleindemnity,729
ZACHETTI,Film-Noir,doubleindemnity,31
DISSOLVE TO:,Film-Noir,doubleindemnity,41
KEYES' VOICE,Film-Noir,doubleindemnity,48
KEYES,Film-Noir,doubleindemnity,644
NEFF,Film-Noir,doubleindemnity,1472
CHICO,Film-Noir,sweetsmellofsuccess,23
WELDON,Film-Noir,sweetsmellofsuccess,31
GIRL,Film-Noir,sweetsmellofsuccess,21
SENATOR,Film-Noir,sweetsmellofsuccess,46
BARTHA,Film-Noir,sweetsmellofsuccess,60
WIFE,Film-Noir,sweetsmellofsuccess,62
ELWELL,Film-Noir,sweetsmellofsuccess,76
RITA,Film-Noir,sweetsmellofsuccess,121
MARY,Film-Noir,sweetsmellofsuccess,72
TEMPLE,Film-Noir,sweetsmellofsuccess,34
EVANS,Film-Noir,sweetsmellofsuccess,37
SALLY,Film-Noir,sweetsmellofsuccess,82
STEVE,Film-Noir,sweetsmellofsuccess,328
ROBARD,Film-Noir,sweetsmellofsuccess,33
D'ANGELO,Film-Noir,sweetsmellofsuccess,205
SUSAN,Film-Noir,sweetsmellofsuccess,334
SIDNEY,Film-Noir,sweetsmellofsuccess,1195
KELLO,Film-Noir,sweetsmellofsuccess,98
HUNSECKER,Film-Noir,sweetsmellofsuccess,1046
