Char,Genre,Title,line_count
JIM VOICE,Music,doorsthe,44
MANAGER,Music,doorsthe,37
JERRY,Music,doorsthe,26
HAIRDRESSER,Music,doorsthe,23
PRODUCER,Music,doorsthe,34
JOURNALIST 1,Music,doorsthe,21
JOURNALIST 3,Music,doorsthe,28
GLORIA,Music,doorsthe,42
PR MAN,Music,doorsthe,29
PAMELA,Music,doorsthe,42
PAUL,Music,doorsthe,62
STEWARDESS,Music,doorsthe,21
DOG,Music,doorsthe,32
PATRICIA,Music,doorsthe,152
LAWYER,Music,doorsthe,30
SIDDONS,Music,doorsthe,74
VOICES,Music,doorsthe,39
MIKE,Music,doorsthe,48
TOM,Music,doorsthe,100
JOHN,Music,doorsthe,163
ROBBIE,Music,doorsthe,119
RAY,Music,doorsthe,330
PAM,Music,doorsthe,335
JIM,Music,doorsthe,1689
JIM & DOORS,Music,doorsthe,150
MOM,Music,highfidelity,35
WOMAN,Music,highfidelity,53
CUSTOMER,Music,highfidelity,33
MARIE,Music,highfidelity,101
USA.  About a girl who's left town,Music,highfidelity,21
IAN,Music,highfidelity,54
CHARLIE,Music,highfidelity,66
LIZ,Music,highfidelity,70
DICK,Music,highfidelity,145
VINCE,Music,highfidelity,30
CAROLINE,Music,highfidelity,64
ROB,Music,highfidelity,2165
LAURA,Music,highfidelity,656
BARRY,Music,highfidelity,447
MR LIPA,Music,pianistthe,26
THE FEATHER WOMAN,Music,pianistthe,26
JEHUDA,Music,pianistthe,98
DR. EHRLICH,Music,pianistthe,22
REGINA,Music,pianistthe,57
MOTHER,Music,pianistthe,70
GRUN,Music,pianistthe,22
HENRYK,Music,pianistthe,178
FATHER,Music,pianistthe,116
HALINA,Music,pianistthe,65
HELLER,Music,pianistthe,50
BENEK,Music,pianistthe,29
SS CAPTAIN,Music,pianistthe,29
MAJOREK,Music,pianistthe,54
ZICK-ZACK,Music,pianistthe,32
ALL WORKERS,Music,pianistthe,23
BOGUCKI,Music,pianistthe,21
JANINA,Music,pianistthe,24
GEBCZYNSKI,Music,pianistthe,48
SZALAS,Music,pianistthe,32
MICHAL,Music,pianistthe,47
DOROTA,Music,pianistthe,98
THE GERMAN CAPTAIN,Music,pianistthe,70
SZPILMAN,Music,pianistthe,446
LEDNICKI,Music,pianistthe,28
LISA,Music,purplerain,22
WENDY,Music,purplerain,53
MOTHER,Music,purplerain,90
FATHER,Music,purplerain,63
CHICK,Music,purplerain,21
JEROME,Music,purplerain,118
BILLY,Music,purplerain,125
MORRIS,Music,purplerain,492
PRINCE,Music,purplerain,390
JILL,Music,purplerain,78
VANITY,Music,purplerain,463
WALLACE,Music,takingsides,62
SCHLEE,Music,takingsides,65
FURTWAANGLER,Music,takingsides,23
MARTIN,Music,takingsides,35
WERNER,Music,takingsides,45
DYMSHITZ,Music,takingsides,127
ARCHIVES,Music,takingsides,26
RODE,Music,takingsides,172
DAVID,Music,takingsides,217
EMMI,Music,takingsides,152
FURTWANGLER,Music,takingsides,362
STEVE,Music,takingsides,1043
