Char,Genre,Title,line_count
(JAFAR pinches his beak shut.),Musical,aladdin,25
ABU are gone.  They are sneaking away in barrels.  They,Musical,aladdin,24
JASMINE to pet and hug him.)  You were just playing,Musical,aladdin,30
(JAFAR says the word 'princess' with the accent on,Musical,aladdin,28
ASMINE walking through the street.),Musical,aladdin,22
"ALADDIN leans in to kiss her.  He is interrupted, howeve",Musical,aladdin,24
"GENIE looks at ALADDIN.)  Say, you're a lot smaller",Musical,aladdin,31
"GENIE appears in his vest, then sticks his arms out and",Musical,aladdin,87
"GENIE takes the form of a stewardess, with lots of",Musical,aladdin,31
"ONE, boy!",Musical,aladdin,22
"ABU into:  a duck, an ostrich, a turtle, and a '57",Musical,aladdin,24
GIRLS: (in couterpoint),Musical,aladdin,25
JAFAR and IAGO behind the door.),Musical,aladdin,21
"GENIE comes out holding the real turban.)  Al, all",Musical,aladdin,55
"ALADDIN and JASMINE in free-fall, but catching them.  Th",Musical,aladdin,38
CARPET in a knot around a tree.),Musical,aladdin,53
"GENIE again is confused, then goes to him and pulls",Musical,aladdin,85
CARPET shakes off the snow and rushes over to pick,Musical,aladdin,27
JAFAR's back is to ALADDIN.),Musical,aladdin,27
(JAFAR looks down questioningly) You wanted to be a geni,Musical,aladdin,26
ANASTASIA,Musical,anastasia,31
PHLEGMENKOF,Musical,anastasia,21
VLADIMIR (CONT.),Musical,anastasia,24
ANYA (CONT.),Musical,anastasia,40
DMITRI (CONT.),Musical,anastasia,41
SOPHIE,Musical,anastasia,56
VLADIMIR,Musical,anastasia,187
TATIANA,Musical,anastasia,150
BARTOK,Musical,anastasia,144
RASPUTIN,Musical,anastasia,151
RASPUTIN (CONT.),Musical,anastasia,61
DMITRI,Musical,anastasia,293
ANYA,Musical,anastasia,354
MARCUS,Musical,burlesque,78
SEAN,Musical,burlesque,71
JACK,Musical,burlesque,189
NIKKI,Musical,burlesque,46
ALI,Musical,burlesque,399
TESS,Musical,burlesque,135
FATHER MCNULTY,Musical,detroitrockcity,92
KENNY,Musical,detroitrockcity,83
SIMPLE SIMON'S VOICE,Musical,detroitrockcity,28
SCALPER,Musical,detroitrockcity,34
BARTENDER,Musical,detroitrockcity,44
PRIEST,Musical,detroitrockcity,62
MAN WITH COAT,Musical,detroitrockcity,37
BEEFY JERK #1,Musical,detroitrockcity,35
BETH,Musical,detroitrockcity,90
AMANDA,Musical,detroitrockcity,53
LITTLE KID,Musical,detroitrockcity,64
CHRISTINE,Musical,detroitrockcity,112
MRS. BRUCE,Musical,detroitrockcity,118
LEX,Musical,detroitrockcity,306
ELVIS,Musical,detroitrockcity,24
HAWK,Musical,detroitrockcity,580
TRIP,Musical,detroitrockcity,280
JAM,Musical,detroitrockcity,316
ENSEMBLE,Musical,ducksoup,29
SPEAKER,Musical,ducksoup,24
MRS.  TEASDALE,Musical,ducksoup,38
VERA,Musical,ducksoup,79
BOB,Musical,ducksoup,94
TRENTINO,Musical,ducksoup,239
ALL,Musical,ducksoup,46
MRS. TEASDALE,Musical,ducksoup,208
CHICO,Musical,ducksoup,369
GROUCHO,Musical,ducksoup,1002
STOKELY,Musical,honeydripper,33
BERTHA MAE,Musical,honeydripper,81
PUGH,Musical,honeydripper,29
AMANDA,Musical,honeydripper,114
NED,Musical,honeydripper,58
SHACK THOMAS,Musical,honeydripper,80
TIME,Musical,honeydripper,27
CHOIR,Musical,honeydripper,76
REVEREND CUTLIP,Musical,honeydripper,106
CHINA DOLL,Musical,honeydripper,206
SHERIFF PUGH,Musical,honeydripper,130
DELILAH,Musical,honeydripper,220
NADINE,Musical,honeydripper,33
COOL BREEZE,Musical,honeydripper,57
JUNEBUG,Musical,honeydripper,50
DEX,Musical,honeydripper,102
HAM,Musical,honeydripper,55
SONNY,Musical,honeydripper,301
SLICK,Musical,honeydripper,90
PM,Musical,honeydripper,120
MACEO,Musical,honeydripper,412
TY,Musical,honeydripper,949
CONVICTS,Musical,lesmiserables,35
OVERSEER,Musical,lesmiserables,22
JAILER,Musical,lesmiserables,23
LATER THAT NIGHT -,Musical,lesmiserables,35
BISHOP,Musical,lesmiserables,86
BEGGARS' CHORUS,Musical,lesmiserables,42
MAIN FACTORY WOMAN,Musical,lesmiserables,36
FACTORY WOMEN,Musical,lesmiserables,22
FOREMAN,Musical,lesmiserables,37
TOOTH MAN,Musical,lesmiserables,21
WHORES,Musical,lesmiserables,36
BAMATABOIS,Musical,lesmiserables,40
FANTINE (cont'd),Musical,lesmiserables,52
THENARDIER/CUSTOMERS,Musical,lesmiserables,43
THENARDIERS,Musical,lesmiserables,29
STUDENTS/CROWD,Musical,lesmiserables,49
EPONINE,Musical,lesmiserables,216
STUDENTS,Musical,lesmiserables,28
ALL,Musical,lesmiserables,49
VALJEAN (cont'd),Musical,lesmiserables,116
JOLY,Musical,lesmiserables,29
GAHE,Musical,lesmiserables,95
COURFEYRAC,Musical,lesmiserables,37
ENJOLRAS,Musical,lesmiserables,217
GRANTAIRE,Musical,lesmiserables,45
SOLDIER,Musical,lesmiserables,24
JAVERT (cont'd),Musical,lesmiserables,56
JAVERT,Musical,lesmiserables,404
GILLENORMAND,Musical,lesmiserables,27
THENARDIER,Musical,lesmiserables,392
MADAME THENARDIER,Musical,lesmiserables,134
THENARDIER/MADAME THENARDIER,Musical,lesmiserables,23
MARIUS,Musical,lesmiserables,330
COSETTE,Musical,lesmiserables,181
FANTINE,Musical,lesmiserables,196
VALJEAN,Musical,lesmiserables,783
SUPERIMPOSE CAPTION:,Musical,lesmiserables,55
MARCHERS,Musical,lesmiserables,41
LEOPARDI,Musical,nine,21
DOCTOR,Musical,nine,25
CARDINAL,Musical,nine,30
CARDINAL'S SECRETARY,Musical,nine,54
DE R,Musical,nine,28
STEPHANIE,Musical,nine,69
CARLA,Musical,nine,161
CLAUDIA,Musical,nine,84
BENITO,Musical,nine,24
FAUSTO,Musical,nine,45
DANTE,Musical,nine,205
LUISA,Musical,nine,128
MAMMA,Musical,nine,27
LILLI,Musical,nine,177
PIERPAOLO,Musical,nine,45
GUIDO,Musical,nine,847
SUPER,Musical,producerthe,21
CARMEN,Musical,producerthe,53
LITTLE OLD LADY,Musical,producerthe,100
LSD,Musical,producerthe,66
DE BRIS,Musical,producerthe,165
BIALYSTOCK AND BLOOM,Musical,producerthe,30
ULLA,Musical,producerthe,38
DRUNK,Musical,producerthe,44
LIEBKIND,Musical,producerthe,392
JUDGE,Musical,producerthe,25
BLOOM,Musical,producerthe,583
BIALYSTOCK,Musical,producerthe,1082
VOICE OVER (Cont),Musical,rockyhorrorpictureshowthe,26
CHORUS,Musical,rockyhorrorpictureshowthe,21
FRANK (Cont),Musical,rockyhorrorpictureshowthe,21
EDDIE,Musical,rockyhorrorpictureshowthe,30
ALL			EDDIE,Musical,rockyhorrorpictureshowthe,25
WIPE TO,Musical,rockyhorrorpictureshowthe,79
COLUMBIA,Musical,rockyhorrorpictureshowthe,67
ROCKY,Musical,rockyhorrorpictureshowthe,55
DR. SCOTT,Musical,rockyhorrorpictureshowthe,69
ALL,Musical,rockyhorrorpictureshowthe,58
GUESTS,Musical,rockyhorrorpictureshowthe,87
FRANK,Musical,rockyhorrorpictureshowthe,399
DR SCOTT,Musical,rockyhorrorpictureshowthe,25
RIFF RAFF,Musical,rockyhorrorpictureshowthe,118
MAGENTA,Musical,rockyhorrorpictureshowthe,53
BRAD,Musical,rockyhorrorpictureshowthe,299
JANET,Musical,rockyhorrorpictureshowthe,285
NARRATOR,Musical,rockyhorrorpictureshowthe,112
THE ROCKY HORROR PICTURE SHOW,Musical,rockyhorrorpictureshowthe,32
BISHOP O'HARA,Musical,sisteract,32
TATE,Musical,sisteract,30
LAWANDA,Musical,sisteract,38
O'HARA,Musical,sisteract,65
CLARKSON,Musical,sisteract,23
JOEY,Musical,sisteract,118
WILLY,Musical,sisteract,58
EDDIE,Musical,sisteract,228
VINCE,Musical,sisteract,231
MOTHER SUPERIOR,Musical,sisteract,459
MARY ROBERT,Musical,sisteract,228
MARY PATRICK,Musical,sisteract,213
MARY LAZARUS,Musical,sisteract,115
CHRISTY,Musical,sisteract,1234
MISS GULCH,Musical,wizardofozthe,35
MUNCHKINS,Musical,wizardofozthe,47
MAYOR,Musical,wizardofozthe,25
DOORMAN,Musical,wizardofozthe,29
CABBY,Musical,wizardofozthe,27
GUARD,Musical,wizardofozthe,46
WITCH,Musical,wizardofozthe,179
ALL,Musical,wizardofozthe,66
OZ'S VOICE,Musical,wizardofozthe,113
WIZARD,Musical,wizardofozthe,187
SCARECROW,Musical,wizardofozthe,396
TIN MAN,Musical,wizardofozthe,280
LION,Musical,wizardofozthe,328
GLINDA,Musical,wizardofozthe,125
LAP DISSOLVE TO:,Musical,wizardofozthe,35
HUNK,Musical,wizardofozthe,30
