Char,Genre,Title,line_count
DIRECTOR,Mystery,8mm,47
"WELLES (, cont)",Mystery,8mm,50
X.  The difference is penetration.,Mystery,8mm,37
NUN,Mystery,8mm,35
MARY'S VOICE,Mystery,8mm,178
MRS CHRISTIAN,Mystery,8mm,200
MAX,Mystery,8mm,280
DINO,Mystery,8mm,22
LONGDALE,Mystery,8mm,94
DINO VELVET,Mystery,8mm,170
MACHINE,Mystery,8mm,27
EDDIE,Mystery,8mm,215
MRS MATHEWS,Mystery,8mm,148
AMY,Mystery,8mm,98
WELLES,Mystery,8mm,1297
WEST,Mystery,afewgoodmen,46
SPRADLING,Mystery,afewgoodmen,32
WHITAKER,Mystery,afewgoodmen,50
SANTIAGO,Mystery,afewgoodmen,26
MCGUIRE,Mystery,afewgoodmen,34
HAMMAKER,Mystery,afewgoodmen,26
STONE,Mystery,afewgoodmen,64
HOWARD,Mystery,afewgoodmen,95
KENDRICK,Mystery,afewgoodmen,107
MARKINSON,Mystery,afewgoodmen,113
JESSEP,Mystery,afewgoodmen,497
RANDOLPH,Mystery,afewgoodmen,156
DOWNEY,Mystery,afewgoodmen,100
SERGEANT AT ARMS,Mystery,afewgoodmen,32
DAWSON,Mystery,afewgoodmen,151
ROSS,Mystery,afewgoodmen,511
SAM,Mystery,afewgoodmen,293
KAFFEE,Mystery,afewgoodmen,2049
JO,Mystery,afewgoodmen,739
VINCENZO,Mystery,angelsdemons,42
(FAST),Mystery,angelsdemons,22
OLIVETTI,Mystery,angelsdemons,123
VOICE,Mystery,angelsdemons,22
ROMAN COP,Mystery,angelsdemons,25
MR. GRAY,Mystery,angelsdemons,49
LANGDON (cont'd),Mystery,angelsdemons,216
CHARTRAND,Mystery,angelsdemons,47
VITTORIA (cont'd),Mystery,angelsdemons,43
REPORTER,Mystery,angelsdemons,39
VITTORIA,Mystery,angelsdemons,280
CAMERLENGO (cont'd),Mystery,angelsdemons,49
ROCHER,Mystery,angelsdemons,219
FR. SIMEON,Mystery,angelsdemons,48
CAMERLENGO,Mystery,angelsdemons,270
SWISS GUARDSMAN,Mystery,angelsdemons,29
LANGDON,Mystery,angelsdemons,579
MORTATI,Mystery,angelsdemons,137
FATHER,Mystery,avventuraltheadventure,27
ANNA,Mystery,avventuraltheadventure,121
OLD MAN,Mystery,avventuraltheadventure,33
CARABINIERE,Mystery,avventuraltheadventure,38
MARSHAL,Mystery,avventuraltheadventure,65
SAILOR,Mystery,avventuraltheadventure,54
ANNA'S FATHER,Mystery,avventuraltheadventure,54
LIEUTENANT,Mystery,avventuraltheadventure,61
WOMAN'S VOICE,Mystery,avventuraltheadventure,21
MAN'S VOICE,Mystery,avventuraltheadventure,22
PRINCESS,Mystery,avventuraltheadventure,37
GIRL,Mystery,avventuraltheadventure,24
ZURIA,Mystery,avventuraltheadventure,54
GOFFREDO,Mystery,avventuraltheadventure,23
GIULIA,Mystery,avventuraltheadventure,132
RAIMONDO,Mystery,avventuraltheadventure,50
CORRADO,Mystery,avventuraltheadventure,150
HUSBAND,Mystery,avventuraltheadventure,34
WIFE,Mystery,avventuraltheadventure,30
