Char,Genre,Title,line_count
ROGER,Romance,17again,26
MR. ADAMS,Romance,17again,39
LAUREN,Romance,17again,27
STAN,Romance,17again,69
JAMIE,Romance,17again,26
SAMANTHA,Romance,17again,46
(READS),Romance,17again,33
JUDGE,Romance,17again,37
MAGGIE,Romance,17again,128
ALEX,Romance,17again,205
JULIE,Romance,17again,125
ED,Romance,17again,427
COACH HARVEY,Romance,17again,70
SCARLET,Romance,17again,237
MIKE,Romance,17again,897
AMANDA,Romance,500daysofsummer,24
DOUCHE,Romance,500daysofsummer,30
ALISON,Romance,500daysofsummer,38
SARAH,Romance,500daysofsummer,22
VANCE.,Romance,500daysofsummer,31
VANCE,Romance,500daysofsummer,51
MCKENZIE,Romance,500daysofsummer,205
PAUL,Romance,500daysofsummer,144
RACHEL,Romance,500daysofsummer,116
SUMMER,Romance,500daysofsummer,619
(BEAT),Romance,500daysofsummer,96
NARRATOR,Romance,500daysofsummer,79
TOM,Romance,500daysofsummer,1313
GIRL,Romance,500daysofsummer,57
P.A. SYSTEM (male v.o.),Romance,airplane,21
P.A. SYSTEM (female v.o.),Romance,airplane,27
GIRL,Romance,airplane,21
JOEY,Romance,airplane,30
MURDOCK,Romance,airplane,74
OVEUR (v.o.),Romance,airplane,25
OVEUR,Romance,airplane,111
CAREY,Romance,airplane,26
AIR CONTROLLER #1,Romance,airplane,35
JACK,Romance,airplane,26
SISTER ANGELINA,Romance,airplane,24
MILTON,Romance,airplane,46
BERNICE,Romance,airplane,31
GUNDERSON,Romance,airplane,27
STRIKER (v.o.),Romance,airplane,66
ELAINE (v.o.),Romance,airplane,28
ELAINE,Romance,airplane,286
P.A. SYSTEM (v.o.),Romance,airplane,24
HINSHAW,Romance,airplane,92
DR. RUMACK,Romance,airplane,187
STRIKER,Romance,airplane,265
RANDY,Romance,airplane,126
KRAMER,Romance,airplane,355
KRAMER (v.o.),Romance,airplane,84
UNTITLED,Romance,almostfamous,30
BANGS (cont'd),Romance,almostfamous,41
BANGS,Romance,almostfamous,101
SCOTTY,Romance,almostfamous,36
RED DOG,Romance,almostfamous,22
MRS. DEEGAN (cont'd),Romance,almostfamous,26
DARRYL,Romance,almostfamous,35
QUINCE (cont'd),Romance,almostfamous,21
ESTRELLA,Romance,almostfamous,110
POLEXIA (cont'd),Romance,almostfamous,23
DISSOLVE TO:,Romance,almostfamous,34
GO AWAY!,Romance,almostfamous,35
ELAINE (cont'd),Romance,almostfamous,47
PENNY (cont'd),Romance,almostfamous,33
POLEXIA,Romance,almostfamous,96
FAN,Romance,almostfamous,32
DICK (cont'd),Romance,almostfamous,62
RIC,Romance,almostfamous,31
BEN (cont'd),Romance,almostfamous,24
JEFF (cont'd),Romance,almostfamous,29
