Char,Genre,Title,line_count
RADIO HOST,Sci-Fi,2012,24
ON THE RADIO,Sci-Fi,2012,23
CHARLIE'S VOICE,Sci-Fi,2012,38
CHARLIE FROST,Sci-Fi,2012,91
NEWSCASTER,Sci-Fi,2012,21
TONY,Sci-Fi,2012,24
HARRY,Sci-Fi,2012,61
PRESIDENT WILSON,Sci-Fi,2012,83
SASHA,Sci-Fi,2012,77
GORDON,Sci-Fi,2012,107
SATNAM,Sci-Fi,2012,26
LIN,Sci-Fi,2012,29
YURI,Sci-Fi,2012,94
NENG,Sci-Fi,2012,35
TAMARA,Sci-Fi,2012,45
(PAUSE),Sci-Fi,2012,43
OLEG,Sci-Fi,2012,21
LILLY,Sci-Fi,2012,65
LAURA,Sci-Fi,2012,82
PROF. WEST,Sci-Fi,2012,42
VOICE,Sci-Fi,2012,22
ANHEUSER,Sci-Fi,2012,166
CAPTAIN MICHAELS,Sci-Fi,2012,58
NOAH,Sci-Fi,2012,78
KATE,Sci-Fi,2012,149
JACKSON,Sci-Fi,2012,334
ADRIAN,Sci-Fi,2012,344
(CONTINUED),Sci-Fi,2012,211
EXEC,Sci-Fi,abyssthe,21
COFFEY,Sci-Fi,abyssthe,141
JAMMER,Sci-Fi,abyssthe,37
SONNY,Sci-Fi,abyssthe,25
MONK,Sci-Fi,abyssthe,88
MCBRIDE,Sci-Fi,abyssthe,29
ONE NIGHT,Sci-Fi,abyssthe,77
DEMARCO,Sci-Fi,abyssthe,38
CATFISH,Sci-Fi,abyssthe,108
HIPPY,Sci-Fi,abyssthe,171
LINDSEY,Sci-Fi,abyssthe,514
BUD,Sci-Fi,abyssthe,486
PORTER,Sci-Fi,airplane2thesequel,28
RUMACK,Sci-Fi,airplane2thesequel,32
JOHN,Sci-Fi,airplane2thesequel,22
DUNN,Sci-Fi,airplane2thesequel,24
NURSE 1,Sci-Fi,airplane2thesequel,26
CONTROLLER 1,Sci-Fi,airplane2thesequel,62
OVEUR,Sci-Fi,airplane2thesequel,142
MAN THREE,Sci-Fi,airplane2thesequel,23
DETECTIVE HALLICK,Sci-Fi,airplane2thesequel,55
MR. COFFEE,Sci-Fi,airplane2thesequel,33
KRUGER,Sci-Fi,airplane2thesequel,91
SARG,Sci-Fi,airplane2thesequel,53
JOE,Sci-Fi,airplane2thesequel,36
CONTROLLER 4,Sci-Fi,airplane2thesequel,23
