Char,Genre,Title,line_count
DOROTHY,War,barrylyndon,93
UNCLE,War,barrylyndon,41
CAPTAIN BEST,War,barrylyndon,60
MICHAEL,War,barrylyndon,38
HARRY,War,barrylyndon,85
MRS. O'REILLY,War,barrylyndon,49
CAPTAIN O'REILLY,War,barrylyndon,78
CAPTAIN GROGAN,War,barrylyndon,183
MINISTER GALGENSTEIN,War,barrylyndon,38
PRUSSIAN OFFICER,War,barrylyndon,24
CAPTAIN GALGENSTEIN,War,barrylyndon,165
CHEVALIER,War,barrylyndon,209
SIR WILLIAM,War,barrylyndon,108
EARL OF CRABS,War,barrylyndon,22
DUKE OF RUTLAND,War,barrylyndon,35
LORD WEST,War,barrylyndon,35
PATRICK,War,barrylyndon,52
NEWCOMBE,War,barrylyndon,71
MOTHER,War,barrylyndon,90
COUNTESS,War,barrylyndon,190
BRODE,War,barrylyndon,78
TAPEWELL,War,barrylyndon,35
RODERICK,War,barrylyndon,2541
NARRATOR,War,barrylyndon,58
MARC,War,battleofalgiersthe,22
OMAR,War,battleofalgiersthe,26
HACENE,War,battleofalgiersthe,28
ASSISTANT COMMISSIONER,War,battleofalgiersthe,97
PETIT OMAR,War,battleofalgiersthe,23
OFFICER,War,battleofalgiersthe,32
ALGERIAN,War,battleofalgiersthe,33
DJAMILA,War,battleofalgiersthe,21
BEN M'HIDI,War,battleofalgiersthe,90
"M'Hidi, remember what he said? No,",War,battleofalgiersthe,32
LOUDSPEAKER,War,battleofalgiersthe,72
MOURAD,War,battleofalgiersthe,26
KADER,War,battleofalgiersthe,160
SADEK,War,battleofalgiersthe,23
PARA,War,battleofalgiersthe,35
HASSIBA,War,battleofalgiersthe,26
ALI,War,battleofalgiersthe,220
CAPTAIN,War,battleofalgiersthe,58
MATHIEU,War,battleofalgiersthe,458
GENERAL,War,battleofalgiersthe,32
JOURNALIST,War,battleofalgiersthe,32
SPEAKER,War,battleofalgiersthe,231
VOICES,War,battleofalgiersthe,21
ARGYLE,War,braveheart,56
VOICE OVER,War,braveheart,50
MARION,War,braveheart,44
NICOLETTE,War,braveheart,31
MORNAY,War,braveheart,35
THE LEPER,War,braveheart,34
CAMPBELL,War,braveheart,61
LONGSHANKS,War,braveheart,126
WILLIAM,War,braveheart,144
STEPHEN,War,braveheart,64
HAMISH,War,braveheart,93
EDWARD,War,braveheart,79
PRINCESS,War,braveheart,216
MAGISTRATE,War,braveheart,67
WALLACE,War,braveheart,374
CRAIG,War,braveheart,95
ROBERT,War,braveheart,125
OAKLEY,War,coldmountain,25
ROURKE,War,coldmountain,23
MONROE,War,coldmountain,90
MRS. MORGAN,War,coldmountain,24
BLIND MAN,War,coldmountain,24
FERRYGIRL,War,coldmountain,36
LILA,War,coldmountain,23
JUNIOR,War,coldmountain,69
VEASEY,War,coldmountain,209
SALLY,War,coldmountain,87
ESCO,War,coldmountain,72
MADDY,War,coldmountain,84
SARA,War,coldmountain,83
PANGLE,War,coldmountain,62
RUBY,War,coldmountain,516
STOBROD,War,coldmountain,194
TEAGUE,War,coldmountain,231
INMAN,War,coldmountain,482
BOSIE,War,coldmountain,25
ADA,War,coldmountain,580
MARTIUS,War,coriolanus,27
TAMORA,War,coriolanus,23
BRUTUS,War,coriolanus,43
