Char,Genre,Title,line_count
DALLAS (CONT.),Animation,beavisandbuttheaddoamerica,21
VAN DRIESSEN,Animation,beavisandbuttheaddoamerica,39
DUMB GUY,Animation,beavisandbuttheaddoamerica,24
BEAVIS (CONT.),Animation,beavisandbuttheaddoamerica,31
DALLAS,Animation,beavisandbuttheaddoamerica,67
MUDDY,Animation,beavisandbuttheaddoamerica,85
MARTHA,Animation,beavisandbuttheaddoamerica,52
SANDY,Animation,beavisandbuttheaddoamerica,21
BEAVIS/CORNHOLIO,Animation,beavisandbuttheaddoamerica,56
BORK,Animation,beavisandbuttheaddoamerica,87
TOM,Animation,beavisandbuttheaddoamerica,63
FLEMMING,Animation,beavisandbuttheaddoamerica,189
BEAVIS,Animation,beavisandbuttheaddoamerica,344
BUTT-HEAD,Animation,beavisandbuttheaddoamerica,387
B&B,Animation,beavisandbuttheaddoamerica,60
TV ANNOUNCER,Animation,toystory,21
HANNAH,Animation,toystory,56
WOODY (VOICE BOX),Animation,toystory,43
SID,Animation,toystory,167
SLINKY,Animation,toystory,85
MRS. DAVIS,Animation,toystory,79
BO PEEP,Animation,toystory,55
REX,Animation,toystory,146
HAMM,Animation,toystory,87
MR. POTATO HEAD,Animation,toystory,149
SARGENT,Animation,toystory,92
BUZZ,Animation,toystory,438
WOODY,Animation,toystory,862
ANDY,Animation,toystory,99
ELDER,Animation,heavymetal,27
BELLYGUNNER,Animation,heavymetal,32
BOMBARDIER,Animation,heavymetal,54
NAVIGATOR,Animation,heavymetal,45
PILOT,Animation,heavymetal,96
GLORIA,Animation,heavymetal,41
ROBOT,Animation,heavymetal,36
EDSEL,Animation,heavymetal,50
ZEKE,Animation,heavymetal,56
PROSECUTOR,Animation,heavymetal,25
FISTE,Animation,heavymetal,69
STERNN,Animation,heavymetal,55
AUSTIN,Animation,heavymetal,25
GIRL,Animation,heavymetal,25
NORL,Animation,heavymetal,27
QUEEN,Animation,heavymetal,60
ARD,Animation,heavymetal,70
DEN,Animation,heavymetal,59
DAN,Animation,heavymetal,160
HARRY,Animation,heavymetal,30
STANLEY,Animation,monkeybone,30
BULL,Animation,monkeybone,33
KIMMY,Animation,monkeybone,48
KITTY,Animation,monkeybone,39
HUTCH,Animation,monkeybone,26
HERB,Animation,monkeybone,77
ALICE,Animation,monkeybone,44
O.D. STU,Animation,monkeybone,32
STU-BONE,Animation,monkeybone,185
MONKEYBONE,Animation,monkeybone,174
DEATH,Animation,monkeybone,83
HYPNOS,Animation,monkeybone,114
JULIE,Animation,monkeybone,263
STU,Animation,monkeybone,366
JILLIAN,Animation,despicableme2,39
SHANNON,Animation,despicableme2,34
FLOYD,Animation,despicableme2,36
SILAS,Animation,despicableme2,94
ANTONIO,Animation,despicableme2,22
EDUARDO,Animation,despicableme2,86
KEVIN,Animation,despicableme2,23
MARGO,Animation,despicableme2,79
EL MACHO,Animation,despicableme2,91
DR. NEFARIO,Animation,despicableme2,62
LUCY,Animation,despicableme2,327
GRU,Animation,despicableme2,799
EDITH,Animation,despicableme2,46
AGNES,Animation,despicableme2,163
ANASTASIA,Animation,anastasia,31
PHLEGMENKOF,Animation,anastasia,21
VLADIMIR (CONT.),Animation,anastasia,24
ANYA (CONT.),Animation,anastasia,40
DMITRI (CONT.),Animation,anastasia,41
SOPHIE,Animation,anastasia,56
VLADIMIR,Animation,anastasia,187
TATIANA,Animation,anastasia,150
BARTOK,Animation,anastasia,144
RASPUTIN,Animation,anastasia,151
RASPUTIN (CONT.),Animation,anastasia,61
DMITRI,Animation,anastasia,293
ANYA,Animation,anastasia,354
FRIEND #3,Animation,megamind,21
EINSTEIN,Animation,megamind,98
"""JOHN CUSACK""",Animation,megamind,120
"""PAT MORITA""",Animation,megamind,100
HAL,Animation,megamind,216
VINNIE,Animation,megamind,26
WAYNE SCOTT,Animation,megamind,89
PLATO,Animation,megamind,135
FRANK,Animation,megamind,53
UBERMAN,Animation,megamind,34
TITAN,Animation,megamind,314
BRAD HELMS,Animation,megamind,81
ROXANNE,Animation,megamind,442
DA VINCI,Animation,megamind,36
MASTER MIND,Animation,megamind,840
TEACHER,Animation,happyfeet,45
FIRST SKUA,Animation,happyfeet,60
ELEPHANT SEAL 1,Animation,happyfeet,29
THE ADELIES,Animation,happyfeet,178
ADELIES,Animation,happyfeet,81
AN ADELIE,Animation,happyfeet,61
LOVEDAY,Animation,happyfeet,73
ALBATROSS,Animation,happyfeet,26
ELLA,Animation,happyfeet,75
CARUSO,Animation,happyfeet,38
CARUSO.,Animation,happyfeet,28
PENGUINS,Animation,happyfeet,35
WISHFUL,Animation,happyfeet,87
MRS ASTRAKHAN,Animation,happyfeet,51
MUMBLE (VO),Animation,happyfeet,61
MUMBLE,Animation,happyfeet,583
(CONTINUED),Animation,happyfeet,150
NEWSREEL ANNOUNCER,Animation,up,80
YOUNG ELLIE,Animation,up,99
CRUCTION FOREMAN TOM,Animation,up,23
VOICE,Animation,up,22
BETA,Animation,up,37
MUNTZ,Animation,up,184
ALPHA,Animation,up,82
GAMMA,Animation,up,37
