Char,Genre,Title,line_count
"(VOICE OVER, as he digs)",Drama,platoon,26
TEX,Drama,platoon,27
LERNER,Drama,platoon,69
ELIAS,Drama,platoon,229
CRAWFORD,Drama,platoon,32
BIG HAROLD,Drama,platoon,55
KING,Drama,platoon,184
JUNIOR,Drama,platoon,88
BUNNY,Drama,platoon,110
DOC,Drama,platoon,45
WOLFE,Drama,platoon,85
ACE,Drama,platoon,30
BARNES,Drama,platoon,233
FRANCIS,Drama,platoon,69
HARRIS,Drama,platoon,53
O'NEILL,Drama,platoon,104
RHAH,Drama,platoon,189
CHRIS,Drama,platoon,355
KINKO,Drama,waterforelephants,22
WALTER,Drama,waterforelephants,25
CAMEL,Drama,waterforelephants,35
AUGUST,Drama,waterforelephants,161
MARLENA,Drama,waterforelephants,108
CHARLIE,Drama,waterforelephants,25
JACOB,Drama,waterforelephants,257
MAX REDLICHT,Drama,schindlerslist,22
EINSATZ NCO,Drama,schindlerslist,21
CLERK,Drama,schindlerslist,32
CZURDA,Drama,schindlerslist,29
MISS KRAUSE,Drama,schindlerslist,22
TOFFEL,Drama,schindlerslist,23
HUJAR,Drama,schindlerslist,26
SCHERNER,Drama,schindlerslist,39
GOLDBERG,Drama,schindlerslist,40
EMILIE,Drama,schindlerslist,34
GOETH,Drama,schindlerslist,280
STERN,Drama,schindlerslist,188
PFEFFERBERG,Drama,schindlerslist,70
SCHINDLER,Drama,schindlerslist,1009
PROXMIRE,Drama,aptpupil,30
JOEY,Drama,aptpupil,82
ARCHIE,Drama,aptpupil,78
BEN,Drama,aptpupil,59
DUSSANDER,Drama,aptpupil,1028
MORGAN,Drama,aptpupil,53
MONICA,Drama,aptpupil,68
WEISKOPF,Drama,aptpupil,39
RICHLER,Drama,aptpupil,91
DICK,Drama,aptpupil,173
TODD,Drama,aptpupil,1071
FRENCH,Drama,aptpupil,175
LINDA,Drama,believerthe,35
FIRST WAITER,Drama,believerthe,24
POLISH MAN,Drama,believerthe,29
HATE COUNSELOR,Drama,believerthe,22
O.L.,Drama,believerthe,22
CARLETON,Drama,believerthe,38
FATHER,Drama,believerthe,46
BRAND,Drama,believerthe,36
GUY,Drama,believerthe,115
DRAKE,Drama,believerthe,41
LINA,Drama,believerthe,81
CURTIS,Drama,believerthe,168
MRS. MOEBIUS,Drama,believerthe,79
REPORTER,Drama,believerthe,32
MIRIAM,Drama,believerthe,91
VOICE,Drama,believerthe,32
BILLINGS,Drama,believerthe,87
KYLE,Drama,believerthe,95
STUART,Drama,believerthe,49
AVI,Drama,believerthe,46
CARLA,Drama,believerthe,238
VOICES,Drama,believerthe,36
RAV ZINGESSER,Drama,believerthe,98
DANNY,Drama,believerthe,1206
DEFENDING LAWYER,Drama,erinbrockovich,21
PAULSEN,Drama,erinbrockovich,40
BAUM,Drama,erinbrockovich,28
MANDY,Drama,erinbrockovich,27
FRANKEL,Drama,erinbrockovich,50
ROSS,Drama,erinbrockovich,27
LAURA,Drama,erinbrockovich,22
ANNA,Drama,erinbrockovich,24
JANE,Drama,erinbrockovich,35
THERESA,Drama,erinbrockovich,31
BRENDA,Drama,erinbrockovich,55
MATTHEW,Drama,erinbrockovich,40
GEORGE,Drama,erinbrockovich,304
EMBRY,Drama,erinbrockovich,40
POTTER,Drama,erinbrockovich,52
DONNA,Drama,erinbrockovich,145
ROSALIND,Drama,erinbrockovich,27
ERIN,Drama,erinbrockovich,1575
ED,Drama,erinbrockovich,634
MR. FELDMAN,Drama,edwood,41
GEORGIE,Drama,edwood,165
HOST,Drama,edwood,26
OLD MAN McCOY,Drama,edwood,26
CAMERAMAN BILL,Drama,edwood,33
LORETTA,Drama,edwood,50
DOLORES,Drama,edwood,190
ED'S VOICE,Drama,edwood,27
NORMA,Drama,edwood,32
ED (on phone),Drama,edwood,29
BELA,Drama,edwood,522
PAUL MARCO,Drama,edwood,74
CONRAD,Drama,edwood,37
VAMPIRA,Drama,edwood,96
TOR,Drama,edwood,136
N WELLES,Drama,edwood,39
REYNOLDS,Drama,edwood,78
REVEREND LEMON,Drama,edwood,53
BUNNY,Drama,edwood,51
KATHY,Drama,edwood,124
ED,Drama,edwood,1892
CRISWELL,Drama,edwood,149
MISS PETERS,Drama,pleasantville,24
MARGE,Drama,pleasantville,21
JENNIFER (CONT),Drama,pleasantville,35
GEORGE (CONT),Drama,pleasantville,29
BIFF,Drama,pleasantville,104
MR. JOHNSON (CONT),Drama,pleasantville,33
DICK VAN DYKE (CONT),Drama,pleasantville,60
DICK VAN DYKE,Drama,pleasantville,224
BOB (CONT),Drama,pleasantville,68
GEORGE,Drama,pleasantville,134
BOB,Drama,pleasantville,174
JENNIFER,Drama,pleasantville,452
MARGARET,Drama,pleasantville,87
DAVID (CONT),Drama,pleasantville,142
MR. JOHNSON,Drama,pleasantville,175
BETTY,Drama,pleasantville,166
BETTY (CONT),Drama,pleasantville,48
DAVID,Drama,pleasantville,836
GREGORY,Drama,romeojuliet,30
SAMPSON,Drama,romeojuliet,36
MERCUTIO,Drama,romeojuliet,152
MERCUTIO (CONT.),Drama,romeojuliet,79
BENVOLIO,Drama,romeojuliet,121
TYBALT,Drama,romeojuliet,46
MONTAGUE,Drama,romeojuliet,23
CAPULET,Drama,romeojuliet,101
CAPULET (CONT.),Drama,romeojuliet,32
DAVE,Drama,romeojuliet,30
NURSE,Drama,romeojuliet,126
GLORIA,Drama,romeojuliet,87
GLORIA (CONT.),Drama,romeojuliet,21
FATHER LAURENCE (CONT.),Drama,romeojuliet,59
ROMEO (CONT.),Drama,romeojuliet,87
JULIET (CONT.),Drama,romeojuliet,52
ROMEO,Drama,romeojuliet,403
JULIET,Drama,romeojuliet,329
