Char,Genre,Title,line_count
BEATRICE,Horror,afterlife,74
VINCENT,Horror,afterlife,30
TOM,Horror,afterlife,75
JACK,Horror,afterlife,81
ELIOT (O.C.),Horror,afterlife,37
ANNA,Horror,afterlife,446
(BEAT),Horror,afterlife,43
ELIOT,Horror,afterlife,539
PAUL,Horror,afterlife,324
ABBOT,Horror,alien3,299
ANTHONY,Horror,alien3,232
KYLE,Horror,alien3,62
JOHN,Horror,alien3,552
RIPLEY,Horror,alien3,757
BRARD,Horror,alien,269
MELKONIS,Horror,alien,280
FAUST,Horror,alien,215
HUNTER,Horror,alien,335
STANDARD,Horror,alien,967
COMPUTER,Horror,alien,63
ROBY,Horror,alien,620
VAN LEUWEN,Horror,aliens,61
WIERZBI,Horror,aliens,24
APONE,Horror,aliens,82
SPUNKMEYER,Horror,aliens,22
FERRO,Horror,aliens,30
HUDSON,Horror,aliens,231
GORMAN,Horror,aliens,198
VASQUEZ,Horror,aliens,73
HICKS,Horror,aliens,254
BURKE,Horror,aliens,242
BISHOP,Horror,aliens,145
NEWT,Horror,aliens,140
RIPLEY,Horror,aliens,753
NANCY (,Horror,amityvilleasylumthe,29
PEMBERTON,Horror,amityvilleasylumthe,64
HARDCASTLE,Horror,amityvilleasylumthe,77
NANCY,Horror,amityvilleasylumthe,47
RONALD SENIOR,Horror,amityvilleasylumthe,47
BUTCH,Horror,amityvilleasylumthe,45
GLORIA,Horror,amityvilleasylumthe,81
MIXTER (,Horror,amityvilleasylumthe,25
SADIE,Horror,amityvilleasylumthe,52
MAN,Horror,amityvilleasylumthe,21
DELANEY,Horror,amityvilleasylumthe,446
LISA,Horror,amityvilleasylumthe,660
PRESENTER,Horror,amityvilleasylumthe,38
MIXTER,Horror,amityvilleasylumthe,258
GIDDYPU!,Horror,armyofdarkness,27
FADE OUT.,Horror,armyofdarkness,24
SHEILA,Horror,armyofdarkness,34
HENRY,Horror,armyofdarkness,51
ARTHUR,Horror,armyofdarkness,117
EVIL ASH,Horror,armyofdarkness,64
WISEMAN JOHN,Horror,armyofdarkness,107
DISSOLVE TO:,Horror,armyofdarkness,43
ASH,Horror,armyofdarkness,649
MRS. MACGRUDER,Horror,birdsthe,81
MAN,Horror,birdsthe,27
CLERK,Horror,birdsthe,103
CHILDREN,Horror,birdsthe,69
ANNIE,Horror,birdsthe,352
HELEN,Horror,birdsthe,45
SALESMAN,Horror,birdsthe,46
DRUNK,Horror,birdsthe,33
MALONE,Horror,birdsthe,99
SAM,Horror,birdsthe,23
DEKE,Horror,birdsthe,74
SHOLES,Horror,birdsthe,77
WOMAN,Horror,birdsthe,62
MRS. BUNDY,Horror,birdsthe,145
ANNOUNCER,Horror,birdsthe,83
MELANIE,Horror,birdsthe,1102
LYDIA,Horror,birdsthe,451
CATHY,Horror,birdsthe,157
MITCH,Horror,birdsthe,836
CHUPA,Horror,bladeii,56
ASAD,Horror,bladeii,48
SCUD,Horror,bladeii,175
STEVENS,Horror,bladeii,71
REINHARDT,Horror,bladeii,72
WHISTLER,Horror,bladeii,227
DAMASKINOS,Horror,bladeii,127
NOMAK,Horror,bladeii,37
NYSSA,Horror,bladeii,257
BLADE,Horror,bladeii,386
LARRY,Horror,bladetrinity,30
WHISTLER,Horror,bladetrinity,41
CUMBERLAND,Horror,bladetrinity,49
KING (V.0.),Horror,bladetrinity,23
VANCE,Horror,bladetrinity,146
HEDGES,Horror,bladetrinity,37
VREEDE,Horror,bladetrinity,47
SOMMERFIELD,Horror,bladetrinity,100
ASHER,Horror,bladetrinity,25
BLADE,Horror,bladetrinity,176
DANICA,Horror,bladetrinity,127
DRAKE,Horror,bladetrinity,124
ABIGAIL,Horror,bladetrinity,91
ABIGAIL (V.0.),Horror,bladetrinity,39
KING,Horror,bladetrinity,332
MAN,Horror,buffythevampireslayer,33
CASSANDRA,Horror,buffythevampireslayer,38
COACH,Horror,buffythevampireslayer,40
GRUELLER,Horror,buffythevampireslayer,51
MERRICK,Horror,buffythevampireslayer,378
ZEPH,Horror,buffythevampireslayer,35
BUFFY'S MOM,Horror,buffythevampireslayer,38
ANDY,Horror,buffythevampireslayer,75
NICOLE,Horror,buffythevampireslayer,132
BENNY,Horror,buffythevampireslayer,102
AMILYN,Horror,buffythevampireslayer,54
LOTHOS,Horror,buffythevampireslayer,166
GARY MURRAY,Horror,buffythevampireslayer,68
JENNIFER,Horror,buffythevampireslayer,91
JEFFREY,Horror,buffythevampireslayer,125
KIMBERLY,Horror,buffythevampireslayer,159
PIKE,Horror,buffythevampireslayer,338
BUFFY,Horror,buffythevampireslayer,856
STELLA,Horror,carrie,51
FROMM,Horror,carrie,43
PULL BACK QUICKLY to show red circles of a traffic light.,Horror,carrie,24
BOBBY,Horror,carrie,24
DE LOIS,Horror,carrie,44
NORMA,Horror,carrie,43
TOMMY,Horror,carrie,470
SWELLING. They're being led toward the stage area  the thrones waiting for them. The,Horror,carrie,30
ERNEST,Horror,carrie,50
MORTON,Horror,carrie,73
VOICE SCREAMS.,Horror,carrie,32
COLLINS,Horror,carrie,351
GEORGE,Horror,carrie,43
THE BEAK,Horror,carrie,48
CRACKLES. Utter pandemonium.,Horror,carrie,56
CHRIS,Horror,carrie,228
BILLY,Horror,carrie,137
MARGARET,Horror,carrie,257
CARRIE,Horror,carrie,572
GET OUT!,Horror,carrie,26
DISSOLVE TO:,Horror,carrie,146
ELEANOR,Horror,carrie,101
SUE,Horror,carrie,179
DOUG,Horror,case39,155
CORONER,Horror,case39,22
NANCY,Horror,case39,44
INTERVIEWER,Horror,case39,51
EDWARD,Horror,case39,94
MARGARET,Horror,case39,73
BARRON,Horror,case39,177
WAYNE,Horror,case39,76
EMILY,Horror,case39,810
LUCY,Horror,case39,321
LUCIEN,Horror,cellthe,24
TEDDY LEE,Horror,cellthe,37
REID,Horror,cellthe,42
RAMSEY,Horror,cellthe,136
HENRY,Horror,cellthe,147
STARGHER,Horror,cellthe,53
MARTIN,Horror,cellthe,34
STARGHER KING,Horror,cellthe,55
COLE,Horror,cellthe,31
MIRIAM,Horror,cellthe,262
NOVAK,Horror,cellthe,462
CATHERINE,Horror,cellthe,422
ATTORNEY,Horror,copycat,46
WOMAN,Horror,copycat,22
SUSAN (ON TV),Horror,copycat,21
DARYLL,Horror,copycat,59
CONRAD,Horror,copycat,57
RUBEN,Horror,copycat,325
ANDY,Horror,copycat,218
NIKKO,Horror,copycat,100
RADIO NEWS,Horror,copycat,21
SAKS,Horror,copycat,80
PETER,Horror,copycat,114
QUINN,Horror,copycat,267
M.J.,Horror,copycat,970
SUSAN,Horror,copycat,40
HELEN,Horror,copycat,983
TRACY,Horror,crowsalvationthe,28
DUTTON,Horror,crowsalvationthe,67
GONZALEZ,Horror,crowsalvationthe,34
ERLICH,Horror,crowsalvationthe,74
TOMMY,Horror,crowsalvationthe,69
MERCER,Horror,crowsalvationthe,64
RANDALL,Horror,crowsalvationthe,71
WALSH,Horror,crowsalvationthe,95
LARKIN,Horror,crowsalvationthe,47
LAUREN,Horror,crowsalvationthe,25
MADDEN,Horror,crowsalvationthe,83
SECRETARY,Horror,crowsalvationthe,48
ALEX'S VOICE,Horror,crowsalvationthe,39
CAPTAIN,Horror,crowsalvationthe,260
ALEX,Horror,crowsalvationthe,421
ERIN'S VOICE,Horror,crowsalvationthe,23
ERIN,Horror,crowsalvationthe,240
TIN-TIN,Horror,crowthe,33
GIDEON,Horror,crowthe,58
ANNABELLA,Horror,crowthe,26
FUNBOY,Horror,crowthe,58
T-BIRD,Horror,crowthe,68
MICKEY,Horror,crowthe,26
SKANK,Horror,crowthe,36
TOP DOLLAR,Horror,crowthe,71
FLASH ENDS.,Horror,crowthe,21
SKULL COWBOY,Horror,crowthe,55
GRANGE,Horror,crowthe,75
ALBRECHT,Horror,crowthe,214
LAO,Horror,crowthe,157
ERIC,Horror,crowthe,426
DARLA,Horror,crowthe,37
ELLY,Horror,crowthe,129
WE CAN HANDLE THEM!,Horror,dawnofthedead,23
THIS THING...,Horror,dawnofthedead,38
WE GOT A LOT TO DO...ROGER...,Horror,dawnofthedead,25
"ALRIGHT, NOW ARE YOU STRAIGHT?",Horror,dawnofthedead,24
CLOSE THE GATE...CLOSE THE GATE...,Horror,dawnofthedead,28
FOR US...,Horror,dawnofthedead,24
UP THE STAIRS.,Horror,dawnofthedead,44
JOSHUA,Horror,eightleggedfreaks,84
HARLAN,Horror,eightleggedfreaks,77
HANK,Horror,eightleggedfreaks,23
NORMAN,Horror,eightleggedfreaks,53
WADE,Horror,eightleggedfreaks,193
BRET,Horror,eightleggedfreaks,92
SAM,Horror,eightleggedfreaks,361
ASHLEY,Horror,eightleggedfreaks,159
GLADYS,Horror,eightleggedfreaks,88
CHRIS,Horror,eightleggedfreaks,334
MIKE,Horror,eightleggedfreaks,285
(CONTINUED),Horror,eightleggedfreaks,140
HOLLIS,Horror,eventhorizon,58
LYLE,Horror,eventhorizon,44
JUSTIN,Horror,eventhorizon,110
KILPACK,Horror,eventhorizon,22
PETERS,Horror,eventhorizon,246
SMITH,Horror,eventhorizon,199
DJ,Horror,eventhorizon,140
MILLER,Horror,eventhorizon,773
WEIR,Horror,eventhorizon,517
STARCK,Horror,eventhorizon,339
COOPER,Horror,eventhorizon,157
BOOK OF THE DEAD,Horror,evildead,38
SCOTT is growing impatient.,Horror,evildead,31
"LINDA, since SHELLY had reacted so calmly. ASHLY passes",Horror,evildead,34
CHERYL sits alone in the living room near the window. She,Horror,evildead,25
ASHLY stands with his drink and raises the glass.,Horror,evildead,24
SCOTT sweeps his light to another corner and reveals,Horror,evildead,60
CHERYL turns off the machine at this point.,Horror,evildead,31
ASHLY walks to a chair near the other window.,Horror,evildead,27
CHERYL stops.,Horror,evildead,25
SCOTT who has opened the door from the inside. She,Horror,evildead,38
CHERYL turns to face the window again.,Horror,evildead,39
CHERYL remains with her back to them staring out the,Horror,evildead,31
SCOTT steps into SHELLY's bathroom and sees that the,Horror,evildead,26
ASHLY quietly returns to the main room. SCOTT is load-,Horror,evildead,26
ASHLY slaps SCOTT. He stirs awake and mumbles.,Horror,evildead,37
LINDA remains behind nervously fumbling with her necklace,Horror,evildead,32
"SCOTT, past CHERYL, who watches all of this from below,",Horror,evildead,25
ASHLY glances to the grave and sees LINDA's necklace on,Horror,evildead,38
"SCOTT. This does not affect him, and he advances closer.",Horror,evildead,22
CHIEF,Horror,feast,36
MEAN GREEN,Horror,feast,26
NEWSCASTER,Horror,feast,29
HERO,Horror,feast,68
BELLE,Horror,feast,58
COACH,Horror,feast,132
BMAN,Horror,feast,144
ROADIE,Horror,feast,94
BEER GUY,Horror,feast,67
TRAMPY,Horror,feast,72
PARA,Horror,feast,72
GRANDPA,Horror,feast,35
BARTENDER,Horror,feast,115
ADULTERER,Horror,feast,107
TUFFY,Horror,feast,91
BOZO,Horror,feast,311
HEROINE,Horror,feast,446
THE MAN IN TAN,Horror,feast,23
FRANKIE,Horror,finaldestination2,34
DANO,Horror,finaldestination2,45
SHAINA,Horror,finaldestination2,37
DETECTIVE SUBY,Horror,finaldestination2,38
PHYSICIAN,Horror,finaldestination2,21
DR. LEES,Horror,finaldestination2,24
TIM,Horror,finaldestination2,33
MORTICIAN,Horror,finaldestination2,63
JORGE,Horror,finaldestination2,32
NORA,Horror,finaldestination2,59
EUGENE,Horror,finaldestination2,75
RORY,Horror,finaldestination2,105
KAT,Horror,finaldestination2,94
ANCHOR MAN,Horror,finaldestination2,25
ISABELLA,Horror,finaldestination2,47
CLEAR,Horror,finaldestination2,336
NURSE,Horror,finaldestination2,22
MR. BURROUGHS,Horror,finaldestination2,54
THOMAS,Horror,finaldestination2,298
KIMBERLY,Horror,finaldestination2,476
MR. GIBBONS,Horror,finaldestination2,39
TOD,Horror,finaldestination,83
MR. WAGGNER,Horror,finaldestination,23
MR. BLUDWORTH,Horror,finaldestination,84
MS. LEWTON,Horror,finaldestination,72
JOHN DENVER,Horror,finaldestination,29
BILLY,Horror,finaldestination,65
WEINE,Horror,finaldestination,66
ALEX,Horror,finaldestination,378
SCHRECK,Horror,finaldestination,43
CARTER,Horror,finaldestination,116
CLEAR,Horror,finaldestination,336
WALDMAN,Horror,frankenstein,121
MARIE,Horror,frankenstein,27
FELIX,Horror,frankenstein,26
GRANDFATHER,Horror,frankenstein,42
KREMPE,Horror,frankenstein,62
WILLIAM,Horror,frankenstein,22
MRS. MORITZ,Horror,frankenstein,28
PROSECUTOR,Horror,frankenstein,27
JUSTINE,Horror,frankenstein,81
FATHER,Horror,frankenstein,59
CLAUDE,Horror,frankenstein,30
ELIZABETH,Horror,frankenstein,230
HENRY,Horror,frankenstein,227
VICTOR,Horror,frankenstein,598
GRIGORI,Horror,frankenstein,28
CREATURE,Horror,frankenstein,275
WALTON,Horror,frankenstein,102
FROM DUSK TILL DAWN,Horror,fromdusktilldawn,27
MCGRAW,Horror,fromdusktilldawn,52
PETE,Horror,fromdusktilldawn,64
KELLY HOUGE,Horror,fromdusktilldawn,93
STANLEY CHASE,Horror,fromdusktilldawn,28
RAZOR CHARLIE,Horror,fromdusktilldawn,35
SANTANICO,Horror,fromdusktilldawn,22
CHET,Horror,fromdusktilldawn,44
RICHARD,Horror,fromdusktilldawn,292
FROST,Horror,fromdusktilldawn,49
SEX MACHINE,Horror,fromdusktilldawn,65
JACOB,Horror,fromdusktilldawn,445
SCOTT,Horror,fromdusktilldawn,96
CARLOS,Horror,fromdusktilldawn,40
KATE,Horror,fromdusktilldawn,157
SETH,Horror,fromdusktilldawn,1005
CGUARD DISPATCHER ( RADIO),Horror,ghostship,57
DODGE,Horror,ghostship,455
GREER,Horror,ghostship,325
VOICE,Horror,ghostship,22
EPPS,Horror,ghostship,448
MURPHY,Horror,ghostship,923
SIMON,Horror,gothika,21
DOROTHY,Horror,gothika,67
CELO,Horror,gothika,58
SHELLEY,Horror,gothika,104
IRENE,Horror,gothika,88
JENNA,Horror,gothika,55
SHERIFF RYAN,Horror,gothika,264
TEDDY HOWARD,Horror,gothika,67
PARSONS,Horror,gothika,183
OFFICER TURLINGTON,Horror,gothika,60
PETE,Horror,gothika,405
CHLOE,Horror,gothika,156
(CONTINUED),Horror,gothika,192
MIRANDA,Horror,gothika,968
"REVISED - May 31, 1989",Horror,gremlins2,45
BILLY (CONT.),Horror,gremlins2,30
"REVISED May 16, 1989",Horror,gremlins2,23
"REVISED April 20, 1989",Horror,gremlins2,34
BILLY,Horror,gremlins2,34
"REVISED - July 7, 1989",Horror,gremlins2,23
JENNIFER,Horror,grudgethe,62
MATTHEW,Horror,grudgethe,165
HAND on the railing two floors down.,Horror,grudgethe,27
INT. OFFICE BUILDING - FOYER - NIGHT,Horror,grudgethe,32
SUSAN,Horror,grudgethe,126
YOKO,Horror,grudgethe,29
"THUD. THUD. Yoko pauses, turning towards the open door to",Horror,grudgethe,28
NAKAGAWA,Horror,grudgethe,74
ALEX,Horror,grudgethe,98
IGARASHI (IN JAPANESE),Horror,grudgethe,59
NAKAGAWA (IN JAPANESE),Horror,grudgethe,41
CORONER (IN JAPANESE),Horror,grudgethe,31
MARIA,Horror,grudgethe,86
OMITTED,Horror,grudgethe,44
PETER (IN JAPANESE),Horror,grudgethe,43
DOUG,Horror,grudgethe,151
PETER,Horror,grudgethe,23
