Char,Genre,Title,line_count
KRISTI,Thriller,127hours,54
MEGAN,Thriller,127hours,61
ERIK,Thriller,127hours,31
ARON,Thriller,127hours,636
RANA,Thriller,127hours,39
IMMIGRATION OFFICER,Thriller,15minutes,56
MILOS,Thriller,15minutes,32
MUGGER,Thriller,15minutes,22
ROBERT HAWKINS,Thriller,15minutes,36
STEPHEN GELLER,Thriller,15minutes,30
HONEY,Thriller,15minutes,32
ROSE,Thriller,15minutes,45
EDDIE,Thriller,15minutes,532
MAX,Thriller,15minutes,27
KORFIN,Thriller,15minutes,103
TOMMY,Thriller,15minutes,44
LEON,Thriller,15minutes,111
DUFFY,Thriller,15minutes,93
STERN,Thriller,15minutes,22
DAPHNE,Thriller,15minutes,121
HAWKINS (ON T.V.),Thriller,15minutes,24
CUTLER,Thriller,15minutes,140
EMIL,Thriller,15minutes,426
HAWKINS,Thriller,15minutes,118
OLEG,Thriller,15minutes,165
JORDY,Thriller,15minutes,504
NICOLETTE,Thriller,15minutes,213
RADIO HOST,Thriller,2012,24
ON THE RADIO,Thriller,2012,23
CHARLIE'S VOICE,Thriller,2012,38
CHARLIE FROST,Thriller,2012,91
NEWSCASTER,Thriller,2012,21
TONY,Thriller,2012,24
HARRY,Thriller,2012,61
PRESIDENT WILSON,Thriller,2012,83
SASHA,Thriller,2012,77
GORDON,Thriller,2012,107
SATNAM,Thriller,2012,26
LIN,Thriller,2012,29
YURI,Thriller,2012,94
NENG,Thriller,2012,35
TAMARA,Thriller,2012,45
(PAUSE),Thriller,2012,43
OLEG,Thriller,2012,21
LILLY,Thriller,2012,65
LAURA,Thriller,2012,82
PROF. WEST,Thriller,2012,42
VOICE,Thriller,2012,22
ANHEUSER,Thriller,2012,166
CAPTAIN MICHAELS,Thriller,2012,58
NOAH,Thriller,2012,78
KATE,Thriller,2012,149
JACKSON,Thriller,2012,334
ADRIAN,Thriller,2012,344
(CONTINUED),Thriller,2012,211
FRIZZY,Thriller,48hrs,23
VANZANT,Thriller,48hrs,25
ALGREN,Thriller,48hrs,28
LISA,Thriller,48hrs,39
RUTH,Thriller,48hrs,31
BARTENDER,Thriller,48hrs,25
SOSNA,Thriller,48hrs,25
KEHOE,Thriller,48hrs,66
LUTHER,Thriller,48hrs,66
HADEN,Thriller,48hrs,103
CASEY,Thriller,48hrs,45
BILLY,Thriller,48hrs,51
GANZ,Thriller,48hrs,177
ELAINE,Thriller,48hrs,227
CANDY,Thriller,48hrs,37
CATES,Thriller,48hrs,1035
HAMMOND,Thriller,48hrs,835
DIRECTOR,Thriller,8mm,47
