Char,Genre,Title,line_count
PEPPER,Western,danceswithwolves,44
FAMBROUGH,Western,danceswithwolves,62
CARGILL,Western,danceswithwolves,21
TIMMONS,Western,danceswithwolves,46
DUNBAR,Western,danceswithwolves,397
STONE CALF,Western,danceswithwolves,27
BLACK SHAWL,Western,danceswithwolves,34
OTTER,Western,danceswithwolves,23
SERGEANT BAUER,Western,danceswithwolves,25
SPIVEY,Western,danceswithwolves,22
ELGIN,Western,danceswithwolves,49
SMILES A LOT,Western,danceswithwolves,49
STANDS WITH A FIST,Western,danceswithwolves,184
TEN BEARS,Western,danceswithwolves,151
KICKING BIRD,Western,danceswithwolves,205
DANCES WITH WOLVES,Western,danceswithwolves,266
WIND IN HIS HAIR,Western,danceswithwolves,153
NARRATION (cont.),Western,tombstone,22
DAKE,Western,tombstone,24
TYLER,Western,tombstone,23
FABIAN,Western,tombstone,44
HIGH ROLLER,Western,tombstone,23
WHITE,Western,tombstone,95
OLD MAN CLANTON,Western,tombstone,31
KATE,Western,tombstone,35
JOYCE,Western,tombstone,30
MATTIE,Western,tombstone,76
VIRGIL,Western,tombstone,138
ALLIE,Western,tombstone,28
DR. GOODFELLOW,Western,tombstone,24
MORGAN,Western,tombstone,135
WAGONMASTER,Western,tombstone,29
LUCINDA'S SON,Western,tombstone,21
CURLY BILL,Western,tombstone,206
BILLY,Western,tombstone,21
GROUNDS,Western,tombstone,21
BREAKENRIDGE,Western,tombstone,35
MCMASTERS,Western,tombstone,99
HOOKER,Western,tombstone,47
RINGO,Western,tombstone,152
VERMILLION,Western,tombstone,86
JOHNSON,Western,tombstone,67
BEHAN,Western,tombstone,151
IKE,Western,tombstone,71
DOC,Western,tombstone,394
JOSEPHINE,Western,tombstone,171
WYATT,Western,tombstone,940
NARRATION,Western,tombstone,174
BARTENDER,Western,mariachiel,32
VIEJO CLERK,Western,mariachiel,35
MEAN DUDE #5,Western,mariachiel,111
DOMINO,Western,mariachiel,224
AZUL,Western,mariachiel,167
MARIACHI,Western,mariachiel,186
MOCO,Western,mariachiel,135
(CONTINUED),Western,mariachiel,82
HASTINGS,Western,baddayatblackrock,96
SAM,Western,baddayatblackrock,25
COLEY,Western,baddayatblackrock,103
PETE,Western,baddayatblackrock,213
HECTOR,Western,baddayatblackrock,145
LIZ,Western,baddayatblackrock,155
SMITH,Western,baddayatblackrock,468
TIM,Western,baddayatblackrock,173
DOC,Western,baddayatblackrock,370
MACREEDY,Western,baddayatblackrock,869
MANAGER,Western,stationwest,40
GODDARD,Western,stationwest,44
COOK,Western,stationwest,40
JERRY,Western,stationwest,33
STELLMAN,Western,stationwest,66
PETE,Western,stationwest,81
MICK,Western,stationwest,32
BRISTOW,Western,stationwest,223
ORVILLE,Western,stationwest,127
ILES,Western,stationwest,320
MRS. CASLON,Western,stationwest,151
DISSOLVE,Western,stationwest,27
PRINCE,Western,stationwest,137
HAVEN,Western,stationwest,1399
CHARLIE,Western,stationwest,546
TRUE GRIT,Western,truegrit,1311
A Methodist and a son-of-a-bitch!,Western,truegrit,1034
PIKE,Western,wildbunchthe,48
DUTCH,Western,wildbunchthe,24
CONTINUED,Western,wildbunchthe,21
SAM,Western,roughshod,25
GRAHAM,Western,roughshod,73
CLAYTON,Western,roughshod,22
GARDNER,Western,roughshod,40
WYATT,Western,roughshod,64
MRS. WYATT,Western,roughshod,50
ELAINE,Western,roughshod,77
FOWLER,Western,roughshod,70
HELEN,Western,roughshod,252
MCCALL,Western,roughshod,23
LEDNOV,Western,roughshod,109
DISSOLVE,Western,roughshod,31
STEVE,Western,roughshod,429
MARY,Western,roughshod,644
CLAY,Western,roughshod,777
STAGE AGENT,Western,tallinthesaddle,33
STAN,Western,tallinthesaddle,48
TALA,Western,tallinthesaddle,34
CLINT,Western,tallinthesaddle,150
DOC RIDING,Western,tallinthesaddle,52
CAP,Western,tallinthesaddle,79
PAP FER,Western,tallinthesaddle,21
ZEKE,Western,tallinthesaddle,25
JUAN,Western,tallinthesaddle,43
BOB CLEWS,Western,tallinthesaddle,97
GEORGE CLEWS,Western,tallinthesaddle,57
JACKSON,Western,tallinthesaddle,139
HAROLDAY,Western,tallinthesaddle,190
GARVEY,Western,tallinthesaddle,260
MISS MARTIN,Western,tallinthesaddle,290
CLARA,Western,tallinthesaddle,155
ROCKLIN,Western,tallinthesaddle,855
ARLY,Western,tallinthesaddle,340
DAVE,Western,tallinthesaddle,528
BEN,Western,searchersthe,29
MARTHA,Western,searchersthe,68
AARON,Western,searchersthe,90
BRAD,Western,searchersthe,61
FUTTERMAN,Western,searchersthe,48
MARTIN'S VOICE,Western,searchersthe,65
GENERAL,Western,searchersthe,29
KEEFER,Western,searchersthe,33
SCAR,Western,searchersthe,33
EMILIO,Western,searchersthe,59
NESBY,Western,searchersthe,27
JORGENSEN,Western,searchersthe,119
MRS. JORGENSEN,Western,searchersthe,128
MOSE,Western,searchersthe,97
LIEUTENANT,Western,searchersthe,47
LAURIE,Western,searchersthe,184
CHARLIE,Western,searchersthe,75
DEBBIE,Western,searchersthe,70
MARTIN,Western,searchersthe,487
ETHAN,Western,searchersthe,765
CLAYTON,Western,searchersthe,296
DISSOLVE TO:,Western,searchersthe,27
