id,Char,gender,Genre,Title,line_count,pkey
1,MICKENA,M,Thriller,assignmentthe,58,mickena-assignmentthe
2,CARLA,F,Thriller,assignmentthe,134,carla-assignmentthe
3,AGNIESKA,F,Thriller,assignmentthe,65,agnieska-assignmentthe
4,KOJ,M,Thriller,assignmentthe,37,koj-assignmentthe
5,AMOS,M,Thriller,assignmentthe,366,amos-assignmentthe
6,FRANK,M,Thriller,assignmentthe,32,frank-assignmentthe
7,HEAD KGB OFFICER,M,Thriller,assignmentthe,90,head_kgb_officer-assignmentthe
8,RAMIREZ,M,Thriller,assignmentthe,797,ramirez-assignmentthe
9,MAURA,F,Thriller,assignmentthe,99,maura-assignmentthe
10,CRAWFORD,NA,Thriller,assignmentthe,37,crawford-assignmentthe
11,JACK,M,Thriller,assignmentthe,763,jack-assignmentthe
12,JOEY,M,Thriller,assignmentthe,23,joey-assignmentthe
13,CARLOS,M,Thriller,assignmentthe,175,carlos-assignmentthe
14,JOHN,M,Thriller,spareme,24,john-spareme
15,JUNIOR,M,Thriller,spareme,107,junior-spareme
16,ALFIE,M,Thriller,spareme,30,alfie-spareme
17,KASTLE,M,Thriller,spareme,352,kastle-spareme
18,PRIEST,M,Thriller,spareme,26,priest-spareme
19,MILLIE,F,Thriller,spareme,72,millie-spareme
20,BREEZE,M,Thriller,spareme,108,breeze-spareme
21,SID,M,Thriller,spareme,177,sid-spareme
22,MAN (OS),M,Thriller,spareme,21,man_(os)-spareme
23,BUZZ,M,Thriller,spareme,332,buzz-spareme
24,LUNA,F,Thriller,spareme,25,luna-spareme
25,THEO,M,Thriller,spareme,588,theo-spareme
26,SHEILA,F,Thriller,spareme,370,sheila-spareme
27,"CALM, UNNATURAL ALMOST. SNOT RUNS FROM HIS NOSTRILS.",NA,Thriller,shifty,35,"calm,_unnatural_almost._snot_runs_from_his_nostrils.-shifty"
28,(PAKISTANI),NA,Thriller,shifty,41,(pakistani)-shifty
29,BOB,M,Thriller,shifty,32,bob-shifty
30,VALERIE,F,Thriller,shifty,33,valerie-shifty
31,INT. VALERIE'S FRONT ROOM. DAY,NA,Thriller,shifty,30,int._valerie's_front_room._day-shifty
32,OTIS,M,Thriller,shifty,27,otis-shifty
33,BLAIR,M,Thriller,shifty,24,blair-shifty
34,MALIK,M,Thriller,shifty,87,malik-shifty
35,REZ,M,Thriller,shifty,198,rez-shifty
36,LORETTA,F,Thriller,shifty,21,loretta-shifty
37,A BEAT.,NA,Thriller,shifty,102,a_beat.-shifty
38,CHRIS,M,Thriller,shifty,474,chris-shifty
39,GLEN,M,Thriller,shifty,223,glen-shifty
40,SHIFTY,M,Thriller,shifty,901,shifty-shifty
41,TREVOR,M,Thriller,shifty,201,trevor-shifty
42,JASMINE,F,Thriller,shifty,159,jasmine-shifty
43,PROXMIRE,NA,Drama,aptpupil,30,proxmire-aptpupil
44,POLISH MAN,M,Drama,believerthe,29,polish_man-believerthe
45,HATE COUNSELOR,M,Drama,believerthe,22,hate_counselor-believerthe
46,O.L.,M,Drama,believerthe,22,o.l.-believerthe
47,GREG,M,Drama,basquiat,33,greg-basquiat
48,ANNINA NOSEI,F,Drama,basquiat,74,annina_nosei-basquiat
49,NEWSREEL VOICE,M,Drama,rko281,79,newsreel_voice-rko281
50,HEDDA,F,Drama,rko281,29,hedda-rko281
51,JEFFREY,M,Drama,arbitrage,32,jeffrey-arbitrage
52,JULIE,F,Drama,arbitrage,53,julie-arbitrage
53,COMMENTATOR,NA,Drama,myweekwithmarilyn,28,commentator-myweekwithmarilyn
54,KENNETH,M,Drama,myweekwithmarilyn,24,kenneth-myweekwithmarilyn
55,JANE,F,Drama,myweekwithmarilyn,43,jane-myweekwithmarilyn
56,VANESSA,F,Drama,myweekwithmarilyn,25,vanessa-myweekwithmarilyn
57,PERCEVAL,M,Drama,myweekwithmarilyn,112,perceval-myweekwithmarilyn
58,REPORTER,M,Drama,myweekwithmarilyn,30,reporter-myweekwithmarilyn
59,JEALOUS,M,Drama,lightsleeper,37,jealous-lightsleeper
60,YOUNG HASID,M,Drama,lightsleeper,21,young_hasid-lightsleeper
61,HOTEL SWITCHBOARD,NA,Drama,lightsleeper,22,hotel_switchboard-lightsleeper
62,MARIANNE,F,Drama,lightsleeper,190,marianne-lightsleeper
63,MARGE,F,Drama,icestormthe,31,marge-icestormthe
64,DOROTHY,F,Drama,icestormthe,60,dorothy-icestormthe
65,HAROLD,M,Drama,icestormthe,76,harold-icestormthe
66,MIA,F,Drama,candletowater,56,mia-candletowater
67,VAUGHN,M,Drama,candletowater,104,vaughn-candletowater
68,BROOKE,F,Drama,candletowater,116,brooke-candletowater
69,CY,M,Drama,candletowater,121,cy-candletowater
70,MO,M,Drama,candletowater,296,mo-candletowater
71,DOLORES,F,Drama,candletowater,28,dolores-candletowater
72,AUSTEN,M,Drama,candletowater,45,austen-candletowater
73,JADEN,M,Drama,candletowater,91,jaden-candletowater
74,BOOTHY,M,Drama,candletowater,104,boothy-candletowater
75,URI,M,Drama,candletowater,206,uri-candletowater
76,MARLOW,M,Drama,candletowater,33,marlow-candletowater
77,FEMALE DJ VO,F,Drama,candletowater,59,female_dj_vo-candletowater
78,MARLOW VO,M,Drama,candletowater,40,marlow_vo-candletowater
79,CALEB,M,Drama,candletowater,211,caleb-candletowater
