,Char,Genre,Title,line_count,gender
0,MICKENA,Thriller,assignmentthe,58,
1,CARLA,Thriller,assignmentthe,134,
2,AGNIESKA,Thriller,assignmentthe,65,
3,KOJ,Thriller,assignmentthe,37,
4,AMOS,Thriller,assignmentthe,366,
5,FRANK,Thriller,assignmentthe,32,
6,HEAD KGB OFFICER,Thriller,assignmentthe,90,
7,RAMIREZ,Thriller,assignmentthe,797,
8,MAURA,Thriller,assignmentthe,99,
9,CRAWFORD,Thriller,assignmentthe,37,
10,JACK,Thriller,assignmentthe,763,
11,JOEY,Thriller,assignmentthe,23,
12,CARLOS,Thriller,assignmentthe,175,
13,JOHN,Thriller,spareme,24,
14,JUNIOR,Thriller,spareme,107,
15,ALFIE,Thriller,spareme,30,
16,KASTLE,Thriller,spareme,352,
17,PRIEST,Thriller,spareme,26,
18,MILLIE,Thriller,spareme,72,
19,BREEZE,Thriller,spareme,108,
20,SID,Thriller,spareme,177,
21,MAN (OS),Thriller,spareme,21,
22,BUZZ,Thriller,spareme,332,
23,LUNA,Thriller,spareme,25,
24,THEO,Thriller,spareme,588,
25,SHEILA,Thriller,spareme,370,
26,"CALM, UNNATURAL ALMOST. SNOT RUNS FROM HIS NOSTRILS.",Thriller,shifty,35,
27,(PAKISTANI),Thriller,shifty,41,
28,BOB,Thriller,shifty,32,
29,VALERIE,Thriller,shifty,33,
30,INT. VALERIE'S FRONT ROOM. DAY,Thriller,shifty,30,
31,OTIS,Thriller,shifty,27,
32,BLAIR,Thriller,shifty,24,
33,MALIK,Thriller,shifty,87,
34,REZ,Thriller,shifty,198,
35,LORETTA,Thriller,shifty,21,
36,A BEAT.,Thriller,shifty,102,
37,CHRIS,Thriller,shifty,474,
38,GLEN,Thriller,shifty,223,
39,SHIFTY,Thriller,shifty,901,
40,TREVOR,Thriller,shifty,201,
41,JASMINE,Thriller,shifty,159,
42,PROXMIRE,Drama,aptpupil,30,
45,POLISH MAN,Drama,believerthe,29,
46,HATE COUNSELOR,Drama,believerthe,22,
47,O.L.,Drama,believerthe,22,
48,GREG,Drama,basquiat,33,
49,ANNINA NOSEI,Drama,basquiat,74,
50,NEWSREEL VOICE,Drama,rko281,79,
51,HEDDA,Drama,rko281,29,
52,JEFFREY,Drama,arbitrage,32,
53,JULIE,Drama,arbitrage,53,
54,COMMENTATOR,Drama,myweekwithmarilyn,28,
55,KENNETH,Drama,myweekwithmarilyn,24,
56,JANE,Drama,myweekwithmarilyn,43,
57,VANESSA,Drama,myweekwithmarilyn,25,
59,PERCEVAL,Drama,myweekwithmarilyn,112,
60,REPORTER,Drama,myweekwithmarilyn,30,
61,JEALOUS,Drama,lightsleeper,37,
62,YOUNG HASID,Drama,lightsleeper,21,
63,HOTEL SWITCHBOARD,Drama,lightsleeper,22,
64,MARIANNE,Drama,lightsleeper,190,
65,MARGE,Drama,icestormthe,31,
66,DOROTHY,Drama,icestormthe,60,
67,HAROLD,Drama,icestormthe,76,
68,MIA,Drama,candletowater,56,
69,VAUGHN,Drama,candletowater,104,
70,BROOKE,Drama,candletowater,116,
71,CY,Drama,candletowater,121,
72,MO,Drama,candletowater,296,
73,DOLORES,Drama,candletowater,28,
74,AUSTEN,Drama,candletowater,45,
75,JADEN,Drama,candletowater,91,
76,BOOTHY,Drama,candletowater,104,
78,URI,Drama,candletowater,206,
79,MARLOW,Drama,candletowater,33,
80,FEMALE DJ VO,Drama,candletowater,59,
81,MARLOW VO,Drama,candletowater,40,
82,CALEB,Drama,candletowater,211,
83,THE PASSION OF JOAN OF ARC,Drama,passionofjoanofarcthe,1404,
84,SAM (voice over),Drama,singlewhitefemale,23,
85,QUANT ANALYST,Drama,wallstreetmoneyneversleeps,26,
86,ZABEL,Drama,wallstreetmoneyneversleeps,51,
87,GOVERNOR (FOOTAGE),Drama,wallstreetmoneyneversleeps,22,
88,PROFESSOR,Drama,wallstreetmoneyneversleeps,22,
89,PRIEST,Drama,wallstreetmoneyneversleeps,27,
90,AUDRY,Drama,wallstreetmoneyneversleeps,48,
91,DAVE WILKIE,Drama,ramblingrose,233,
92,BANCINI,Drama,oneflewoverthecuckoosnest,29,
93,MISS PILBOW,Drama,oneflewoverthecuckoosnest,33,
94,NURSE PILBOW,Drama,oneflewoverthecuckoosnest,26,
95,DOCTOR,Drama,lastflightthe,68,
96,MR NOLAN,Drama,deadpoetssociety,39,
97,MR PERRY,Drama,deadpoetssociety,25,
98,MCALLISTER,Drama,deadpoetssociety,44,
99,JIM #2,Drama,americanbeauty,24,
100,JIM #1,Drama,americanbeauty,31,
101,BRAD,Drama,americanbeauty,45,
102,MURROW'S VOICE-OVER,Drama,gandhi,51,
103,SINGH,Drama,gandhi,22,
104,KHAN,Drama,gandhi,80,
105,SMUTS,Drama,gandhi,103,
106,GOKHALE,Drama,gandhi,33,
107,ENGLISH CAPTAIN,Drama,gandhi,29,
108,CHARLIE,Drama,gandhi,117,
109,MAGISTRATE,Drama,gandhi,26,
110,SIR EDWARD,Drama,gandhi,42,
111,ARTIST,Drama,queenthe,22,
112,NEWSREADER,Drama,queenthe,22,
113,HARLES,Drama,queenthe,35,
114,CHARLES (cont'd),Drama,queenthe,22,
115,CASSIUS,Drama,ali,187,
116,JOE SMILEY,Drama,ali,36,
117,JOSEPH 13X,Drama,ali,26,
119,SONJI,Drama,ali,85,
120,LT. JEROME CLARIDGE,Drama,ali,23,
121,CHAUNCEY ESKRIDGE,Drama,ali,60,
122,JIMI HENDRIX,Drama,ali,35,
123,ELIJAH MUHAMMAD,Drama,ali,51,
124,"""BOTTOM""",Drama,anonymous,21,
126,"""PROLOGUE""",Drama,anonymous,22,
127,"""HENRY V""",Drama,anonymous,46,
