	actual	char	line	pred	prob	linelength
0	1	GEORGES	I'll do that tomorrow morning. Anyway, they didn't see anything.	1.0	0.669546127319	10
1	0	PAULA	But Marilyn is not ready. She's preparing.	1.0	0.736923515797	7
2	1	WALTER	Damn it!	1.0	0.781449139118	2
3	1	ROMEO	Too sacrilegious.	1.0	0.679144144058	2
4	0	FERRIS	That's why I need your people. Everybody else is assigned.	1.0	0.722833096981	10
5	0	ELLEN	(very emotional) Sometimes people need to see things done for them -- because sooner or later they don't believe the words anymore.	1.0	0.686743080616	22
6	1	PLOG	Hang on to something, my friends. The hour is near! Who is that at the edge of the forest if not my own dearly beloved, with actor attached?	1.0	0.937678515911	28
7	0	JULIENNE	In Maine, it's been frozen for two months.	1.0	0.636407077312	8
8	0	BETH	If you promise to love me and be committed to me - 106	1.0	0.552400827408	13
9	0	TIFFANY	I just hope you can handle it.	1.0	0.705859720707	7
10	1	TIMMY	Gaff rigged? Why not a staysail schooner? Go anywhere. Look at this the Mayan, an Alden schooner.	1.0	0.862817108631	17
11	0	ANNA	Alexei!--you got away at last. Can you stay?	0.0	0.118601575494	8
12	0	ANGELA	You okay, lady?	1.0	0.677324831486	3
13	1	MORTIMER	Then I must be here.	1.0	0.679144144058	5
14	1	WALTER	Try.	1.0	0.710835874081	1
15	1	ROMEO	How would you like me to sidekick you in the ass, Roy? 54.	1.0	0.833051919937	13
16	1	BILLY	What did you do when you were little?	1.0	0.674947977066	8
17	1	ELLIOT	(gesturing with the book, looking at the offscreen Lee)	1.0	0.514262259007	9
18	0	NANCY	Yeah, yeah, I ' d like that --	1.0	0.755864918232	8
19	1	WARDEN	I wanted to -- I tried -- but I couldn't...	1.0	0.648406386375	10
20	1	LENNY	Thanks, Max.  I'm touched by your concern.	1.0	0.754539430141	7
21	1	DAGGETT	(weak, faint) Where?	0.0	0.400564491749	3
22	1	CORIN	More wood boy! We must test the steel with our fire.	1.0	0.8839854002	11
23	1	STAINER	You dick!	1.0	0.816026449203	2
24	0	CHRISTMAS	Doctor. Jones. Christmas Jones. No jokes, I've heard them all.	1.0	0.808286249638	10
25	1	SKIPPER	You're officer of the watch, George.	1.0	0.817858457565	6
26	1	KROD	I got a lock. Coordinate 32937!	1.0	0.795629262924	6
27	1	CORNWALLIS	Gentlemen, celebration is premature. We have a difficult campaign ahead of us.  We are in predominately hostile country and we cannot rely on forage.  As we move north, the bulk of our supplies will reach us by sea, through Charleston, which will give us a long and vulnerable supply line, one that can only be secured if the locals are loyal to the crown.	1.0	0.947063446045	64
28	1	STRIKER	Well, I flew single-engine fighters in the Air Force, but this plane has four engines. It's an entirely different kind of flying...all together!!!	1.0	0.957143962383	23
29	1	LLOYD	It's about time the piano realized it has not written the concerto!	1.0	0.674530923367	12
30	1	COLIN	Fair enough. Well one of them has to be dirty, We know that, right?	1.0	0.769956946373	14
31	1	ELIOT	You shouldn't be afraid of her.   The dea can't harm the dead.	1.0	0.700327813625	12
32	1	CARL	I wouldn't bother. 74.	1.0	0.701046943665	4
33	0	ROBERTA	Your buddies giving you a hard time?	1.0	0.920452237129	7
34	1	GOPHER	You can't tell anyone it was me.	1.0	0.679144144058	7
35	0	CAROL	Oh.	1.0	0.601478219032	1
36	1	DAGGETT	Lucky.	1.0	0.679144144058	1
37	0	APOC	No way.  Not possible.	1.0	0.679144144058	4
38	1	PK	I see the boy.	1.0	0.748901128769	4
39	1	DELBANCO	I've run on. Forgive me. We're here to talk about you.	1.0	0.705958485603	11
40	0	ANGELA	Your mom's the one who's embarrassing. What a phony.	1.0	0.722044765949	9
41	0	TERRI	You're apologizing?	1.0	0.561961650848	2
42	1	MILLER	It worked for Weir. Prep the tanks.	1.0	0.976361632347	7
43	1	BREAN	...how ya doing?	1.0	0.819124698639	3
44	1	HOLO	Ready?	1.0	0.669076502323	1
45	1	CONNOR	Be right back...	1.0	0.698302924633	3
46	0	OLIVE	But I'm already finished. Except for my helpful and profane peas.	1.0	0.653563797474	11
47	0	JODY	You want it?	1.0	0.679144144058	3
48	1	WAYNE	What can I do for you, officer?	1.0	0.679576575756	7
49	1	QUINT	5 lengths of 1/2-inch, 20 number 14's, straight gaff, flying gaffs, tail rope, eye splice, M-1, 20 clips, pliers, irons...	1.0	0.889067411423	20
50	1	GABE	This is new...	1.0	0.679144144058	3
51	1	STARKS	Good. 22.	1.0	0.631504416466	2
52	1	NED	I'm way ahead of you.	1.0	0.68259614706	5
53	1	JOHN	(trying) Oh, that's too bad.	1.0	0.604285299778	5
54	0	LORRAINE	When you were about eight...you suffered night terrors. Awful fits of pure fear. You were terrified of an old woman who you said would come to visit you at night.	1.0	0.604324936867	30
55	0	KAREN	I was setting up pumps.	1.0	0.611079394817	5
56	1	KENJI	I don't know. Yasujiro remains silent for a moment.	1.0	0.930931687355	9
57	1	BAINES	Keite pail Kaare e titahataha aria. (It's all right! Look it's nicely balanced.)	1.0	0.790257513523	13
58	0	BETSY	(very matter-of-factly) I did.	1.0	0.679144144058	4
59	1	ROSS	Watch my lips, coz you're not gonna believe this - this is a rare occurrence. We haven't had a body in eighteen months. How does anyone dead as this lose a knife?	1.0	0.699985980988	32
60	1	CARL	(continuing) Who's doing that?	1.0	0.747620403767	4
61	0	A.D.	What the H. Christ is going on over here?	1.0	0.81772428751	9
62	0	BLONDELL	"Uh... don't see it.  There's no signature.  But hang on -- there's a note to ""See Addendum.""  Checking..."	1.0	0.76444542408	18
63	0	PEGGY	Alma, you always know the answer. Is this really going to work?	1.0	0.646639168262	12
64	1	STEPHEN	My God, Padeen, a veritable zoo. [   ]	1.0	0.818505704403	8
65	1	CHUCK	(very softly) Take me with you.	1.0	0.657395899296	6
66	1	WHEELER	Take it easy, Walter.	1.0	0.729516386986	4
67	0	MARIANNE	But Edward loves you.	0.0	0.434939473867	4
68	1	GABRIEL	He's my father.	0.0	0.387704402208	3
69	1	FENNYMAN	Kill him!	1.0	0.679144144058	2
70	1	POOCH	When he says it out loud, it does sound kinda ridiculous...	1.0	0.582082033157	11
71	1	RANDY	(cups hand to ear) What's that?	1.0	0.925004243851	6
72	1	RYAN	Dr. Stone requesting faster transport to the bay area. Explorer get me down.	1.0	0.919501721859	13
73	1	ROMEO	I know who you are. You guys are the fuckin'....	1.0	0.765011787415	10
74	1	OXFORD	--Out came the apo mekhanes theos... As when Hippolytus is saved by Artemis, or Medea flown to Athens... Always good for an apo mekhanes theos was Euripides 10 pg. 11	1.0	0.784560739994	30
75	1	VITTI	Blue.	1.0	0.679144144058	1
76	1	JACOB	I just wanted to make sure I would be bringing you the smartest idea possible. I know you don't go light.	1.0	0.660050690174	21
77	0	DELILAH	It can be a trial, married folks differ in their religion.	1.0	0.822730362415	11
78	1	HAMMER	C'mon, let's go!	1.0	0.862572014332	3
79	1	NICK	What did you tell him?	1.0	0.705200016499	5
80	0	JENNA	You're right. We're family. We stick together. But Billy was family too.	1.0	0.718068003654	12
81	0	CASEY	Yeah, that's cool.	1.0	0.829063773155	3
82	1	GABRIEL	What?	1.0	0.679144144058	1
83	0	JUSTICE	They're gonna do it.	1.0	0.698613345623	4
84	1	DAVID	I understand.	1.0	0.784922719002	2
85	1	LEONARD	Yeah.	1.0	0.700356721878	1
86	0	HAZEL	Not so much cold as under- oxygenated.	1.0	0.646833479404	7
87	1	TYLER	(nodding sagely)	1.0	0.632569611073	2
88	1	SCOTT	(nodding) I've got it... (to Miller) Can I have some backup?	1.0	0.621595263481	11
89	1	DAD	I don't know. I'm not ready yet.	1.0	0.660975158215	7
90	1	GALE	Tom Prinze, tanked as usual. That's a shocker.	1.0	0.74248957634	8
91	1	QUOYLE	Not used to a woman.     Giving me presents.	1.0	0.679144144058	8
92	1	RONNIE	Never mind. Anyway, I need something that's really 'cool.' Something that will impress her and I guess you could say I'm not exactly in the know with what the hipsters are up to these days.	1.0	0.698624849319	35
93	0	JORDAN	Dick, Jane, and Spot.	1.0	0.843218445778	4
94	1	MAX	What if I wanted this tattoo?	1.0	0.679144144058	6
95	1	CECIL	Let him go!   He tells the truth.	1.0	0.711275756359	7
96	1	MIERZWIAK	She should not have done this, Stan.  As mad as she was... as justifiably --	1.0	0.541762113571	15
97	1	LARRY	An executive nanny, not a gopher Thanks for clearing that up. 53.	1.0	0.978617548943	12
98	0	VADA	You don't have to wait, daddy'll be mad if you're late.	0.0	0.372204303741	11
99	1	SID	(not looking up) The painter.	1.0	0.677104175091	5
100	1	HARRY	Ma'am?	1.0	0.693978786469	1
101	1	LEX	Whoa. Danger Will Robinson.	1.0	0.952086448669	4
102	1	GRUG	If she wants to survive, she has to follow our rules.	1.0	0.660515785217	11
