	Genre	actual	char	line	pred	linelength
0	Romance	1	GEORGES	i'll do that tomorrow morning. anyway, they didn't see anything.	1.0	10
1	Drama	0	PAULA	but marilyn is not ready. she's preparing.	1.0	7
2	Crime	1	WALTER	damn it!	1.0	2
3	Crime	1	ROMEO	too sacrilegious.	1.0	2
4	Sci-Fi	0	FERRIS	that's why i need your people. everybody else is assigned.	1.0	10
5	Romance	0	ELLEN	 sometimes people need to see things done for them -- because sooner or later they don't believe the words anymore.	1.0	20
6	Fantasy	1	PLOG	hang on to something, my friends. the hour is near! who is that at the edge of the forest if not my own dearly beloved, with actor attached?	1.0	28
7	Comedy	0	JULIENNE	in maine, it's been frozen for two months.	1.0	8
8	Romance	0	BETH	if you promise to love me and be committed to me - numtoknumtoknumtok	0.0	13
9	Romance	0	TIFFANY	i just hope you can handle it.	1.0	7
10	Adventure	1	TIMMY	gaff rigged? why not a staysail schooner? go anywhere. look at this the mayan, an alden schooner.	1.0	17
11	Drama	0	ANNA	alexei!--you got away at last. can you stay?	0.0	8
12	Drama	0	ANGELA	you okay, lady?	1.0	3
13	Crime	1	MORTIMER	then i must be here.	1.0	5
14	Drama	1	WALTER	try.	1.0	1
15	Crime	1	ROMEO	how would you like me to sidekick you in the ass, roy? numtoknumtok.	1.0	13
16	Drama	1	BILLY	what did you do when you were little?	1.0	8
17	Romance	1	ELLIOT		1.0	0
18	Fantasy	0	NANCY	yeah, yeah, i ' d like that --	1.0	8
19	War	1	WARDEN	i wanted to -- i tried -- but i couldn't...	1.0	10
20	Mystery	1	LENNY	thanks, max.  i'm touched by your concern.	1.0	7
21	Mystery	1	DAGGETT	 where?	1.0	1
22	Fantasy	1	CORIN	more wood boy! we must test the steel with our fire.	1.0	11
23	Romance	1	STAINER	you dick!	1.0	2
24	Adventure	0	CHRISTMAS	doctor. jones. christmas jones. no jokes, i've heard them all.	1.0	10
25	Adventure	1	SKIPPER	you're officer of the watch, george.	1.0	6
26	Sci-Fi	1	KROD	i got a lock. coordinate numtoknumtoknumtoknumtoknumtok!	1.0	6
27	War	1	CORNWALLIS	gentlemen, celebration is premature. we have a difficult campaign ahead of us.  we are in predominately hostile country and we cannot rely on forage.  as we move north, the bulk of our supplies will reach us by sea, through charleston, which will give us a long and vulnerable supply line, one that can only be secured if the locals are loyal to the crown.	1.0	64
28	Romance	1	STRIKER	well, i flew single-engine fighters in the air force, but this plane has four engines. it's an entirely different kind of flying...all together!!!	1.0	23
29	Drama	1	LLOYD	it's about time the piano realized it has not written the concerto!	1.0	12
30	Crime	1	COLIN	fair enough. well one of them has to be dirty, we know that, right?	1.0	14
31	Horror	1	ELIOT	you shouldn't be afraid of her.   the dea can't harm the dead.	1.0	12
32	Romance	1	CARL	i wouldn't bother. numtoknumtok.	1.0	4
33	Drama	0	ROBERTA	your buddies giving you a hard time?	1.0	7
34	Crime	1	GOPHER	you can't tell anyone it was me.	1.0	7
35	Mystery	0	CAROL	oh.	1.0	1
36	Mystery	1	DAGGETT	lucky.	1.0	1
37	Sci-Fi	0	APOC	no way.  not possible.	1.0	4
38	Drama	1	PK	i see the boy.	1.0	4
39	Drama	1	DELBANCO	i've run on. forgive me. we're here to talk about you.	1.0	11
40	Drama	0	ANGELA	your mom's the one who's embarrassing. what a phony.	1.0	9
41	Fantasy	0	TERRI	you're apologizing?	1.0	2
42	Sci-Fi	1	MILLER	it worked for weir. prep the tanks.	1.0	7
43	Comedy	1	BREAN	...how ya doing?	1.0	3
44	Horror	1	HOLO	ready?	1.0	1
45	Crime	1	CONNOR	be right back...	1.0	3
46	Romance	0	OLIVE	but i'm already finished. except for my helpful and profane peas.	1.0	11
47	Romance	0	JODY	you want it?	1.0	3
48	Crime	1	WAYNE	what can i do for you, officer?	1.0	7
49	Adventure	1	QUINT	numtok lengths of numtok/numtok-inch, numtoknumtok number numtoknumtok's, straight gaff, flying gaffs, tail rope, eye splice, m-numtok, numtoknumtok clips, pliers, irons...	1.0	20
50	Adventure	1	GABE	this is new...	1.0	3
51	Fantasy	1	STARKS	good. numtoknumtok.	1.0	2
52	Crime	1	NED	i'm way ahead of you.	1.0	5
53	Romance	1	JOHN	 oh, that's too bad.	1.0	4
54	Horror	0	LORRAINE	when you were about eight...you suffered night terrors. awful fits of pure fear. you were terrified of an old woman who you said would come to visit you at night.	1.0	30
55	Crime	0	KAREN	i was setting up pumps.	1.0	5
56	Drama	1	KENJI	i don't know. yasujiro remains silent for a moment.	1.0	9
57	Romance	1	BAINES	keite pail kaare e titahataha aria. 	0.0	6
58	Comedy	0	BETSY	 i did.	1.0	2
59	Mystery	1	ROSS	watch my lips, coz you're not gonna believe this - this is a rare occurrence. we haven't had a body in eighteen months. how does anyone dead as this lose a knife?	1.0	32
60	Fantasy	1	CARL	 who's doing that?	1.0	3
61	Romance	0	A.D.	what the h. christ is going on over here?	1.0	9
62	Drama	0	BLONDELL	"uh... don't see it.  there's no signature.  but hang on -- there's a note to ""see addendum.""  checking..."	1.0	18
63	Drama	0	PEGGY	alma, you always know the answer. is this really going to work?	1.0	12
64	Adventure	1	STEPHEN	my god, padeen, a veritable zoo. [   ]	1.0	8
65	Adventure	1	CHUCK	 take me with you.	1.0	4
66	Drama	1	WHEELER	take it easy, walter.	1.0	4
67	Romance	0	MARIANNE	but edward loves you.	0.0	4
68	War	1	GABRIEL	he's my father.	1.0	3
69	Romance	1	FENNYMAN	kill him!	1.0	2
70	Mystery	1	POOCH	when he says it out loud, it does sound kinda ridiculous...	1.0	11
71	Drama	1	RANDY	 what's that?	1.0	2
72	Sci-Fi	1	RYAN	dr. stone requesting faster transport to the bay area. explorer get me down.	1.0	13
73	Crime	1	ROMEO	i know who you are. you guys are the fuckin'....	1.0	10
74	Drama	1	OXFORD	--out came the apo mekhanes theos... as when hippolytus is saved by artemis, or medea flown to athens... always good for an apo mekhanes theos was euripides numtoknumtok pg. numtoknumtok	1.0	30
75	Crime	1	VITTI	blue.	1.0	1
76	Drama	1	JACOB	i just wanted to make sure i would be bringing you the smartest idea possible. i know you don't go light.	1.0	21
77	Drama	0	DELILAH	it can be a trial, married folks differ in their religion.	1.0	11
78	Comedy	1	HAMMER	c'mon, let's go!	1.0	3
79	Romance	1	NICK	what did you tell him?	1.0	5
80	Crime	0	JENNA	you're right. we're family. we stick together. but billy was family too.	1.0	12
81	Drama	0	CASEY	yeah, that's cool.	1.0	3
82	Crime	1	GABRIEL	what?	1.0	1
83	Adventure	0	JUSTICE	they're gonna do it.	1.0	4
84	Mystery	1	DAVID	i understand.	1.0	2
85	Drama	1	LEONARD	yeah.	1.0	1
86	Romance	0	HAZEL	not so much cold as under- oxygenated.	1.0	7
87	Romance	1	TYLER		1.0	0
88	Crime	1	SCOTT	 i've got it...  can i have some backup?	1.0	8
89	Drama	1	DAD	i don't know. i'm not ready yet.	1.0	7
90	Mystery	1	GALE	tom prinze, tanked as usual. that's a shocker.	1.0	8
91	Romance	1	QUOYLE	not used to a woman.     giving me presents.	1.0	8
92	Crime	1	RONNIE	never mind. anyway, i need something that's really 'cool.' something that will impress her and i guess you could say i'm not exactly in the know with what the hipsters are up to these days.	1.0	35
93	Drama	0	JORDAN	dick, jane, and spot.	1.0	4
94	Crime	1	MAX	what if i wanted this tattoo?	1.0	6
95	Drama	1	CECIL	let him go!   he tells the truth.	1.0	7
96	Sci-Fi	1	MIERZWIAK	she should not have done this, stan.  as mad as she was... as justifiably --	1.0	15
97	Comedy	1	LARRY	an executive nanny, not a gopher thanks for clearing that up. numtoknumtok.	1.0	12
98	Romance	0	VADA	you don't have to wait, daddy'll be mad if you're late.	0.0	11
99	Romance	1	SID	 the painter.	1.0	2
100	Fantasy	1	HARRY	ma'am?	1.0	1
101	Adventure	1	LEX	whoa. danger will robinson.	1.0	4
102	Adventure	1	GRUG	if she wants to survive, she has to follow our rules.	1.0	11
103	War	1	PREW	lissen, i ain't think in of now. but i got a plan cookin in my head. you want to go back to the states in a year. well, you could stretch it some, make it two years. and i could swing a sergeant's stripes -- if i were a non-com the army'd let me pick my duty when i re-enlist. (lost in the picture of	1.0	65
104	Fantasy	1	HYPNOS	you've heard of a fate worse than death? that's what's waiting for you if you screw up.	1.0	17
105	Drama	1	KEATING	thank you mr. dalton. gentlemen, tell you what, don't just tear out that page, tear out the entire introduction. i want it gone, history. leave nothing of it. rip it out. rip! begone j. evans pritchard, ph.d. rip, shred, tear. rip it out. i want to hear nothing but ripping of mr. pritchard.	1.0	53
106	Sci-Fi	1	JEREMY	you mean like janet and the kids.	1.0	7
107	Romance	0	GAIL	 hey, mickey!	1.0	2
108	Mystery	1	PAUL	it's worse. there was an explosi or something. the coffin's breaking, there's sand pouring i from everywhere. i only have a half an hour before --	1.0	26
109	Adventure	1	HAROLD	she's coming back in ten days! it's not like i'm never gonna see her again.	1.0	15
110	Comedy	1	ARTHUR	anyone know a good bar?	1.0	5
111	Mystery	0	CICI	who do you want to speak with? nobody's here.	1.0	9
112	Comedy	0	JOAN	shots!  kamikazes, good sir.	1.0	4
113	Adventure	1	ARAMIS	not just a baby, porthos.  i carried the child of the king.	1.0	12
114	Drama	0	GRANDMA	maybe i need new glasses?	1.0	5
115	War	1	JEHUDA	 rumours, rumours, you take it all too much to heart, wladek.	1.0	11
116	Crime	1	LARRY	after everything i've done for you? the car, the cell phone , the safehouse, the fake passport? someone has to pay for this shit, jack! i have to pay for this shit. it comes out of my commission. you're my lousy profit margin. why the fuck would i take a contract out on my own profit margin? you're not thinking straight. i was the one who told you to leave town! i told you to come to rome! god damn it you've got a job to do! why the hell would i...	1.0	92
117	Mystery	1	DOYLE	i hate to remind you -- but this all started because you said she was murdered. now did anyone, including you, actually see her murdered?	1.0	25
118	Drama	1	COLONEL	yes.	1.0	1
119	Romance	0	LUISA	p. numtoknumtok	1.0	2
120	Drama	0	PAMELA	unbelievable.	1.0	1
121	Sci-Fi	1	BARON	goodbye, jessica and goodbye to your sweet son....  i want to spit once on your head... just some spittle on your face -- what a luxury.	1.0	26
122	Action	1	MCCLANE	you got a warranty on this?	1.0	6
123	War	1	NICK	you loaded it, vince! i saw you!	1.0	7
124	Comedy	1	HENRY	one word?	1.0	2
125	Drama	1	SPICOLI	i thought he was out of town.	1.0	7
126	Sci-Fi	0	ELAINE	the bumps you feel are car-sized asteroid smashing into the hull.	1.0	11
127	Romance	0	LENA	yeah.	1.0	1
128	Crime	1	BAILIFF	hear ye, hear ye. all rise, face our flag and recognize the principles for which it stands. the criminal court, department g is now in session. the honorable harold w. pine presiding.	1.0	32
129	Crime	1	ZAMMITO	when you return please extend my regards to mr. maranzano and his family.	1.0	13
130	Adventure	1	BETA	wait a minute, wait a minute! what is this? chocolate. i smell chocolate.	1.0	13
131	Crime	1	TOM	it's a flood, charlie. you're gonna get wet.	1.0	8
132	Drama	1	BEN	but dad, you guys truly hated each other, i mean really hated each --	0.0	14
133	Crime	1	ELLWOOD	i said put it on the floor, not kick it under the bed.	1.0	13
