id,char,gender,genre,title,line_count,pkey
1,WILLY,M,Musical,sisteract,58,willy-sisteract
2,ATHOS,M,Action,manintheironmask,378,athos-manintheironmask
3,AUGUSTUS,M,Action,perfectcreature,222,augustus-perfectcreature
4,MCKEE (cont'd),,Drama,adaptation,24,mckee_(cont'd)-adaptation
5,JIMMY,M,Romance,mulhollanddrive,43,jimmy-mulhollanddrive
6,DENNIS,M,Drama,backdraft,42,dennis-backdraft
7,CHIEF,M,Drama,laconfidential,98,chief-laconfidential
8,SERGEANT HAYTHAM,M,Thriller,kingdomthe,59,sergeant_haytham-kingdomthe
9,CONOR,M,Romance,hesjustnotthatintoyou,245,conor-hesjustnotthatintoyou
10,NURSE,F,Drama,romeojuliet,126,nurse-romeojuliet
11,NAVIGATOR,M,Action,heavymetal,45,navigator-heavymetal
12,EDDIE,M,Action,15minutes,532,eddie-15minutes
13,BILL MAHER,M,Drama,wallstreetmoneyneversleeps,48,bill_maher-wallstreetmoneyneversleeps
14,BOY,M,Drama,powerofonethe,24,boy-powerofonethe
15,DIBIASI,M,Romance,larrycrowne,65,dibiasi-larrycrowne
16,- - P L E A S U R E PARTNER SELECTED; PROGRAM COMMENCING...,NA,Action,islandthe,32,-_-_p_l_e_a_s_u_r_e_partner_selected;_program_commencing...-islandthe
17,MARCUS,M,Musical,burlesque,78,marcus-burlesque
18,ERIK,M,Mystery,hanna,69,erik-hanna
19,VOICE,,Horror,manhunter,34,voice-manhunter
20,COUNT DOOKU,M,Action,starwarsattackoftheclones,110,count_dooku-starwarsattackoftheclones
21,SIDNEY,F,Mystery,scream,460,sidney-scream
22,LENA,F,Romance,punchdrunklove,336,lena-punchdrunklove
23,STIFLER,M,Comedy,americanpie,163,stifler-americanpie
24,MRS. ASHER,F,Thriller,takinglives,111,mrs._asher-takinglives
25,VALENTIN,M,Thriller,tomorrowneverdies,40,valentin-tomorrowneverdies
26,PRIEST,M,Drama,deerhunterthe,24,priest-deerhunterthe
27,REILLY (cont.),,Action,ticker,59,reilly_(cont.)-ticker
28,BURNHAM,M,Crime,panicroom,341,burnham-panicroom
29,AHMET,M,Drama,midnightexpress,57,ahmet-midnightexpress
30,DEN,M,Sci-Fi,heavymetal,59,den-heavymetal
31,SCIENTIST,M,Romance,fifthelementthe,32,scientist-fifthelementthe
32,VEEJAY,,Drama,cityofjoy,28,veejay-cityofjoy
33,MAX,M,Thriller,losersthe,239,max-losersthe
34,ANDY,M,Drama,manonthemoon,822,andy-manonthemoon
35,LONG LENS POINT-OF-VIEW,,Comedy,burnafterreading,39,long_lens_point-of-view-burnafterreading
36,MIKE,M,Adventure,jaws2,186,mike-jaws2
37,AMY,F,Crime,casino,28,amy-casino
38,PROFESSOR AZIZ,,Drama,fairgame,53,professor_aziz-fairgame
39,ANDY,M,Comedy,manonthemoon,822,andy-manonthemoon
40,DISSOLVE TO:,NA,Mystery,prophecythe,26,dissolve_to:-prophecythe
41,WALT,M,Romance,chasingamy,40,walt-chasingamy
42,(TO MOORE),NA,Thriller,heist,36,(to_moore)-heist
43,(THEN),NA,Comedy,cedarrapids,26,(then)-cedarrapids
44,MAIL CLERK,,Thriller,cellular,24,mail_clerk-cellular
45,SKRAPINOV,M,Drama,beingthere,155,skrapinov-beingthere
