char,genre,title,line_count,pkey
WILLY,Musical,sisteract,58,willy-sisteract
ATHOS,Action,manintheironmask,378,athos-manintheironmask
AUGUSTUS,Action,perfectcreature,222,augustus-perfectcreature
MCKEE (cont'd),Drama,adaptation,24,mckee_(cont'd)-adaptation
JIMMY,Romance,mulhollanddrive,43,jimmy-mulhollanddrive
DENNIS,Drama,backdraft,42,dennis-backdraft
CHIEF,Drama,laconfidential,98,chief-laconfidential
SERGEANT HAYTHAM,Thriller,kingdomthe,59,sergeant_haytham-kingdomthe
CONOR,Romance,hesjustnotthatintoyou,245,conor-hesjustnotthatintoyou
NURSE,Drama,romeojuliet,126,nurse-romeojuliet
NAVIGATOR,Action,heavymetal,45,navigator-heavymetal
EDDIE,Action,15minutes,532,eddie-15minutes
BILL MAHER,Drama,wallstreetmoneyneversleeps,48,bill_maher-wallstreetmoneyneversleeps
BOY,Drama,powerofonethe,24,boy-powerofonethe
DIBIASI,Romance,larrycrowne,65,dibiasi-larrycrowne
- - P L E A S U R E PARTNER SELECTED; PROGRAM COMMENCING...,Action,islandthe,32,-_-_p_l_e_a_s_u_r_e_partner_selected;_program_commencing...-islandthe
MARCUS,Musical,burlesque,78,marcus-burlesque
ERIK,Mystery,hanna,69,erik-hanna
VOICE,Horror,manhunter,34,voice-manhunter
COUNT DOOKU,Action,starwarsattackoftheclones,110,count_dooku-starwarsattackoftheclones
SIDNEY,Mystery,scream,460,sidney-scream
LENA,Romance,punchdrunklove,336,lena-punchdrunklove
STIFLER,Comedy,americanpie,163,stifler-americanpie
MRS. ASHER,Thriller,takinglives,111,mrs._asher-takinglives
VALENTIN,Thriller,tomorrowneverdies,40,valentin-tomorrowneverdies
PRIEST,Drama,deerhunterthe,24,priest-deerhunterthe
REILLY (cont.),Action,ticker,59,reilly_(cont.)-ticker
BURNHAM,Crime,panicroom,341,burnham-panicroom
AHMET,Drama,midnightexpress,57,ahmet-midnightexpress
DEN,Sci-Fi,heavymetal,59,den-heavymetal
SCIENTIST,Romance,fifthelementthe,32,scientist-fifthelementthe
VEEJAY,Drama,cityofjoy,28,veejay-cityofjoy
MAX,Thriller,losersthe,239,max-losersthe
ANDY,Drama,manonthemoon,822,andy-manonthemoon
LONG LENS POINT-OF-VIEW,Comedy,burnafterreading,39,long_lens_point-of-view-burnafterreading
MIKE,Adventure,jaws2,186,mike-jaws2
AMY,Crime,casino,28,amy-casino
PROFESSOR AZIZ,Drama,fairgame,53,professor_aziz-fairgame
ANDY,Comedy,manonthemoon,822,andy-manonthemoon
DISSOLVE TO:,Mystery,prophecythe,26,dissolve_to:-prophecythe
WALT,Romance,chasingamy,40,walt-chasingamy
(TO MOORE),Thriller,heist,36,(to_moore)-heist
(THEN),Comedy,cedarrapids,26,(then)-cedarrapids
MAIL CLERK,Thriller,cellular,24,mail_clerk-cellular
SKRAPINOV,Drama,beingthere,155,skrapinov-beingthere
HIGHWAY PATROLMAN,Comedy,fearandloathinginlasvegas,35,highway_patrolman-fearandloathinginlasvegas
GEORGE (cont'd),Comedy,manonthemoon,36,george_(cont'd)-manonthemoon
AGENT HALLORAN,Action,abovethelaw,32,agent_halloran-abovethelaw
MILLER,Thriller,lordofillusions,25,miller-lordofillusions
JEAN HILL,Crime,jfk,126,jean_hill-jfk
(OVER RADIO),Thriller,darkknightrisesthe,29,(over_radio)-darkknightrisesthe
TED,Comedy,burnafterreading,176,ted-burnafterreading
SANDINISTA #1,Drama,underfire,34,sandinista_#1-underfire
OLIVER,Drama,confessionsofadangerousmind,85,oliver-confessionsofadangerousmind
JEFE,Thriller,xxx,47,jefe-xxx
BICKERMAN,Comedy,lakeplacid,96,bickerman-lakeplacid
WIPE TO:,Drama,itsawonderfullife,29,wipe_to:-itsawonderfullife
DIRECTOR GILLET,Drama,takinglives,148,director_gillet-takinglives
SCHEER,Sci-Fi,islandthe,204,scheer-islandthe
KORFIN,Thriller,15minutes,103,korfin-15minutes
MEGAN,Comedy,bridesmaids,48,megan-bridesmaids
ALLISON,Comedy,littleathens,193,allison-littleathens
DIGGER,Comedy,mybestfriendswedding,205,digger-mybestfriendswedding
CHAMBERS,Drama,cradle2thegrave,105,chambers-cradle2thegrave
CGUARD DISPATCHER ( RADIO),Thriller,ghostship,57,cguard_dispatcher_(_radio)-ghostship
J.D.,Adventure,haroldandkumargotowhitecastle,69,j.d.-haroldandkumargotowhitecastle
ANNE,Adventure,fugitivethe,51,anne-fugitivethe
BEN,Adventure,starwarstheempirestrikesback,32,ben-starwarstheempirestrikesback
FRANCIS,War,platoon,69,francis-platoon
ROBERT HAWKINS,Action,15minutes,36,robert_hawkins-15minutes
SLACK,Action,landofthedead,145,slack-landofthedead
LENORE,Drama,forrestgump,30,lenore-forrestgump
MANTIS,Action,kungfupanda,47,mantis-kungfupanda
NAVIGATOR,Adventure,dune,44,navigator-dune
WITHERSPOON,Comedy,arsenicandoldlace,119,witherspoon-arsenicandoldlace
STAN,Thriller,fargo,58,stan-fargo
(CONTINUED),Drama,whiteout,180,(continued)-whiteout
SLINKY,Comedy,toystory,85,slinky-toystory
DOREEN,Drama,getcarter,32,doreen-getcarter
ELLIE (cont'd),Drama,insomnia,102,ellie_(cont'd)-insomnia
MIDDLE-AGED WOMAN,Action,abovethelaw,23,middle-aged_woman-abovethelaw
BIFF,Fantasy,pleasantville,104,biff-pleasantville
FLASH,Action,spiderman,108,flash-spiderman
HAMM,Animation,toystory,87,hamm-toystory
GIDDYPU!,Comedy,armyofdarkness,27,giddypu!-armyofdarkness
BOURNE,Thriller,bourneidentitythe,564,bourne-bourneidentitythe
D.J.,Drama,bodyguard,26,d.j.-bodyguard
JENNIFER,Mystery,backdraft,260,jennifer-backdraft
VICK,Mystery,hangoverthe,896,vick-hangoverthe
CLAIRE,Mystery,whatliesbeneath,1129,claire-whatliesbeneath
JIGSAW,Crime,saw,166,jigsaw-saw
RENE,Drama,basquiat,227,rene-basquiat
